text,group
anyway  ride é rally bull🐂 mkt,btohqsg
Congrats 🎉👏 Bro🦅 sharing in advance SCM⛴ seatrium last wk😘,btohqsg
waiting 4 oil chiong in us again ah,btohqsg
US Energy Sector already ki past 03Ds & might rest tonight? but wkend Israel  which has vowed to retaliate  heightening fears of possible disruptions to oil production facilities or supply routes in Iran..,btohqsg
buày abit lah.. might potential future ki >300 leh? then regret bo touch our RRG.. Oops  geo geo gg bk >300 didn't notice.. and not forgetting winter ❄️ ☃️ is near.. 🥶,btohqsg
Silverlake Axis extends closing date to Oct 21https://t.co/oeEa99jT4DOctober 04  2024 at 12:53PM,btohqsg
why GCB📽️ temasick behind bkside not yet hit🎯 near 90¢? I waiting🫸 ATH >1$ leh,btohqsg
Wah lao yanlord diam diam kee yingli waiting for xmas meh,btohqsg
😱  Bro CKT diamond💎 hands🙌$2 +13% or penny price 💯,btohqsg
SGX bull run liao.. .Huat ah!,btohqsg
🐉9D +7.4% looks real& want to fly up 三天?,btohqsg
Swee lah... hit $2... swee swee bo zao zhui....💪🙏,btohqsg
Even tamasick back side oso want to huat? 🤭,btohqsg
One of the last blue chips to catch up... gogogo,btohqsg
sibey zhun👍 our Snr. SgYuan continue helping us sharedRH PetroGas🛢️ 189 +9.9%hit 🎯 EW5.. TQsM😘,btohqsg
Want to q sell.. but pull out...🙏🙏🙏,btohqsg
how cum no on come out complains why SGX counters chiong up? 🤣,btohqsg
kn💩.. pls own up.. who invitedpOlo👕🐎 +5.5%join our Oily🛢️ party🥳🎉,btohqsg
SgX go to 🎲 lah.. 🤣,btohqsg
For bluechip to up 10% a day..nt simple,btohqsg
Old pennies JT Polo always tgt last time,btohqsg
Wah.. u still stuck this one?,btohqsg
me oso stuck lah.. cumming soon! 🤭,btohqsg
Maybe jia boey ba so don't move,btohqsg
Wah.. this RH. Who still holding?,btohqsg
heng ar morning buy back 😂,btohqsg
Heng yesterday bought all oiles. 😀😀,btohqsg
Recently sold some Mencast 33-34 during the spike.Looks like 29 consolidating here. Added back $0.029 Mencast today,btohqsg
So many like to play backside of temasek here,btohqsg
低调 低调 但 一直低掉就应该 强调 强调,btohqsg
just wake up 🥱 nap..How's everything?🤣,btohqsg
I see! I so surprised to see you posting 😂😂😂 well rested for tonight ya? 🤣🤣🤣,btohqsg
Rex I q at 134  the driver should know the station ... dun get lost ..infact tgt is 135  .. but I kia si ...,btohqsg
hehehe.. needs recharge energy prepare 2nd shift tonight😬,btohqsg
Wow RH can defroze alot from freezer,btohqsg
Morning bot RH jiu sold liao,btohqsg
power 💪 lah 🆕 EW theory fr. Snr. SgYuan latest RH PetroGas🛢️ EW5 is 215 hor🤣.. againTQvM,btohqsg
KimHeng flushed back to 97 and now back up 100/101. This is pretty good PA,btohqsg
When u unfreeze must tell us hor  dun want to buy your lots,btohqsg
sibey swee👍.. HSI🇭🇰 intraday chart appears bullish combination H&S no wonder BO 🆕high again🤣,btohqsg
feels like try our 🇸🇬🏦.. but too many opportunities elsewhere 😕,btohqsg
Waseh  rex bypass my tgt ...,btohqsg
buày pai.. quite fast.. +2.8%..oh.. it's iFast.. 🤣,btohqsg
Thk💭 it's MUST +4.5% lifted up PUT Kore intraday bOttOm rebound🪃.. 😍,btohqsg
🐉9D +11.111%三天 了 三天 了龍🐲在九天 三天 了,btohqsg
SB simi sai 💩 lai ace?it's isoTeam tat I saw it buày pai yesterday & what's the price now?,btohqsg
don't chiong nvm.. ang ang some more!,btohqsg
If seatrium can close at 2... Will be good for coming weeks🙏🙏🙏,btohqsg
Nam cheong how many rounds liao,btohqsg
relax 💆🏻‍♂️ Bro.. I only noeNAV still around USD14😱,btohqsg
