text,group
we are not poor  we just not as rich as other only,btohqsg
I even saw a long gold hair Beng guy drive GLC 300 Merc do delivery 2 days back,btohqsg
Poor n rich is relative. Depend who u compare with,btohqsg
So dun compare live within your means😜,btohqsg
I just wan see 200-300k in my bank i happy liao,btohqsg
So how far r u away from Ur dream amount now😂🤣,btohqsg
I have 200$ in my bank now,btohqsg
Cannot be la... I dun believe u let bank deduct service charge every month😜😜,btohqsg
Anyplace got sell ebike? Cheap. Wana try gf off peak hrs. Peak do llm,btohqsg
See can see 300k in bank too😜,btohqsg
Going to start work soon after my kopi,btohqsg
Or maybe boss.  1 man show.  Delivery aso must do.,btohqsg
Any posb accounts got paid yet?,btohqsg
Every week sure got pple ask lol,btohqsg
