text,group
Power plant still haven taken by junta,btohqsg
Q1 taiga 29Mil cad net profit.. Notch bad,btohqsg
The 20m from taiga previously is in in March,btohqsg
Ya.. Dividend nv payout as much,btohqsg
This yr maybe can hit total 2cents,btohqsg
The good thing is 21may get one dividend... 18June get another one.. Less than a month got 2dividend.. Hehe,btohqsg
Full year will be later because need agm approvalThen quarterly chop chop,btohqsg
Dividend quite low leh.. Their earning so chor though,btohqsg
Taiga Q to Q still show good improvement. But I don't think there will be much reaction on Monday,btohqsg
SG Analyst Reports Ratings and TargetsMore here!,btohqsg
Net earning eps is 27cents CAD,btohqsg
Why FSL call for accumulate and target price $0.03....,btohqsg
Annualized PE also 3 times....same as JT,btohqsg
Second quarter avarga might be another record.. The Lumber selling price has gone ath to 1702,btohqsg
But I know sgx will slam down the price again,btohqsg
Commodity super cycle.. They don't want sua,btohqsg
Yes. See the iron ore plays southern alliance and fortressForsaken at 20Interest sky high at 60-$1,btohqsg
Ya.. Think they ban australia import.. They goreng till high high,btohqsg
Last yr was celebrating 700usd.. Now already 1.7k usd..,btohqsg
Phillip is 1-yr TP  FSL expected to distribute $0.063  need to add back to TP,btohqsg
"[NEW] Avarga Limited's Announcement08/05/2021 7:22General AnnouncementAnnouncements by Subsidiary  Taiga Building Products Ltd. (""Taiga"")📄 -View Details📈 -View Price Chart",btohqsg
[NEW] Avarga Limited's Announcement08/05/2021 7:24Cash Dividend/ DistributionMandatory📄 -View Details📈 -View Price Chart,btohqsg
[NEW] Avarga Limited's Announcement08/05/2021 7:25General AnnouncementBusiness Update for the First Quarter Ended 31 March 2021📄 -View Details📈 -View Price Chart,btohqsg
[NEW] Avarga Limited's Announcement08/05/2021 7:27General AnnouncementUpdate on Possible Listing of Paper Manufacturing Business📄 -View Details📈 -View Price Chart,btohqsg
wa mai ah ni kuan la,btohqsg
JT n avarga result decent.. Above expectation but share price nv run..,btohqsg
Good enough ba.. At least the companies are doing well.. Something to celebrate,btohqsg
SGX only buy Blue Chips or Chao Pennies..... don't have decent pennies,btohqsg
The Coffee Bean: Buy 2 Get 1 Free on All Sliced Cakes🍰🔹 Limited time only🔹 Takeaway only📍 All outletsMore info:bit.ly/3nW5i06@sgfooddeals,btohqsg
1 man jiak all 3 cakes ah!! 🤤😋,btohqsg
The other day I tried their tiramisu and chocolate cakes  so so only. So far I only like their cheesecakes,btohqsg
I also bought. Trust Sam Goi. But lost cos I bought from 0.52 0.505 & 0.45. Hope this new leader can manage well & give handsome rewards to shareholders who supported him.,btohqsg
Imagine buy 1000 pennies and leave it see got win ornot 😂,btohqsg
Tink higher chance than striking toto,btohqsg
U bot a few stocks and 1 SY already strike liao..u more clever,btohqsg
The motivation and drive no one can imagine,btohqsg
Jio what? Last Sept shout till this year May riao,btohqsg
Use to cover#losechorfreezer ones haha.. but happy many here huat SY 👍🍍,btohqsg
Buy 100 shares those 0.001 ones like annica sinocloud advanced systems 😂,btohqsg
Use Tiger coupon.. no com  5 trade,btohqsg
Who here have confidence to buy SY at 8 now?,btohqsg
Ya la . Sure can strike some,btohqsg
SY going to the moon huan,btohqsg
Sell now is really yum gong,btohqsg
Got Yao Liang & Yao Jia Jia combo 🚀🚀🚀,btohqsg
Make u huat until 摇脚 😂😂,btohqsg
Yao + + I like nia,btohqsg
Sekali their fund mgmt skills beat the zai angmos like cathie wood & ray dalio..,btohqsg
Sell all stocks and all in SY Monday,btohqsg
Ya lor.. Some induce me ma,btohqsg
