text,group
I can't wait to pass geog :'(,btohqsg
I was 1% away from S like cmon :(,btohqsg
Which one is ur problem - drq or essay,btohqsg
but I think rn is drq,btohqsg
Rly!! Okay i can teach u some tips if u wanna meet up to study again sometime. Hard to do over text,btohqsg
Drq is the part that shld pull u up,btohqsg
I think rn my essay is still ok-ish but I find myself scoring shit at DRQ (due to the skills + time management),btohqsg
But sometimes I look at the sources and I'll be like ???? How they compare ??? Maybe next time I show u my mid term paprr,btohqsg
I think its mostly skills and content for drq that will help u significantly imprive time mgmt,btohqsg
Oh what if i send u my nj paper i did,btohqsg
Then i can compare the ans,btohqsg
I should practice my drq soon,btohqsg
Oof my essays not that great lah,btohqsg
I got my fiirst ever L3 9 / 20 tho,btohqsg
my part (a) mostly L3 but it's the (b) parts but admittedly I didn't study the content due to CB break down LMAO,btohqsg
YO DID U KNOW we had a time practice on climate on hydrological processes in drainage basins......   and i wrote abt fluvial processes (meandering/braided) 😭😭😭😭,btohqsg
Damn dumb leh i nv revise my theme 1 in so long,btohqsg
same :') ++ I hate theme 1,btohqsg
Theme 1 qns can be  quite...🙃🙃🙃🙃,btohqsg
I am trash at memory work,btohqsg
me too so urm I guess I've to do consistent practice,btohqsg
but my lit I think I'm screwed once again I haven't been studying lit,btohqsg
Speaking of which  which part in sg do u live in,btohqsg
I suck at the Singapore map,btohqsg
lmao I've a math test ltr,btohqsg
I only know Singapore has a small yet very open economy,btohqsg
Oh yes and a small labour pool,btohqsg
Open - she has to be lol,btohqsg
I am visualising the mrt map,btohqsg
It is near buona and bishan,btohqsg
Anyone havent got the gst alrdy,btohqsg
anyone dsa acjc sports got reply yet?,btohqsg
Yo guys if anyone wants to do a beach cleanup there's a group for you,btohqsg
Yay finally an east coast plan,btohqsg
Ppl always ask wheres east coast but nvr hows east coast 😢,btohqsg
Who asks where is east coast,btohqsg
It's the coast in the east,btohqsg
The monsoon season is washing up overseas trash and ruining our beaches,btohqsg
Theres tons of solid litter and microplastics,btohqsg
So would be gucci is more people went down and have a nice time at the beach while making a positive difference!,btohqsg
Article on mothership today documenting the trash:https://mothership.sg/2020/07/east-coast-park-beach-trash/,btohqsg
Wow they made trash write an article about trash,btohqsg
Dont forget to take your ndp goodie bags guys,btohqsg
I didn't even know it existed,btohqsg
I can just go Google actually,btohqsg
Chan Chun Sing will give out goodie bags?,btohqsg
Ironic how it's called the sgtogether pack when we are encouraged to social distance,btohqsg
My healthy365 app is still asking me to go out,btohqsg
Is there a way to block all ads on yt on mobile,btohqsg
Turn off wifi or data ads can't load without a connection,btohqsg
Im downloading this apk idk if it works not,btohqsg
Who cares about the video getting rid of the nasty ads is more important,btohqsg
anyone ever dropped a printer and caught it with their foot thus bruising it before?,btohqsg
How tf do you caught the printer with your foot is wht i wanna know,btohqsg
n = sf is an anagram for your future,btohqsg
Jokes on u I have no future,btohqsg
o = rd is an anagram of my present,btohqsg
I can predict the future with 100% accuracy,btohqsg
d = ie is an anagram of all our futures,btohqsg
alright so my foot was like near the printer cuz i was sitting on a chair while printing... I MEAN LIKE my foot was resting there la ah. my printer is on the 2nd shelf of my open bookshelf and it STARTING FALLING  instead of catching it with my hands i stopped the fall with my FOOT by instinct FIRST ((because my foot was right there)) and THEN i grabbed it with my hands. I AM IN A LOT OF PAIN THIS HAPPENED 2 DAYS AGO,btohqsg
Yea you should go check with doc if you havent,btohqsg
mhm there's a bump and it's sore when walking and the pain shoots up my leg sjsjsjs idk i'll see a doc if it still hurts a few days frm now,btohqsg
You just sacrificed your foot for your printer. Congratz,btohqsg
Gimme ur printer. I help u discipline it,btohqsg
Go x Ray yaAny bones broken need to cast.,btohqsg
dont think got anyth broken ah but i will see how!,btohqsg
Theres an icecream truck inside my house come over if you want,btohqsg
SPEAKING OF ICE CREAM does anyone have know any ice cream Hawkers (aka those uncles/aunties that sell traditional ice cream) personally and have their contact? If you do please drop me a DM! :),btohqsg
"Hello  Sealed for Success presents the 8th ""In Conversation with"" Series webinar:Sealed for Success: In Conversation with Mr Lionel CrottazDate: 03/08/2020Time: 1830 - 1930About Mr Crottaz:Introducing Mr Lionel Crottaz  a senior advisor with more than 2 decades of experience working with Fortune 500 MNCs like Adecco and Kelly Services on human capital solutions from Switzerland to South-East Asia. He is also an active entrepreneur and startup enabler.Join us for our upcoming AMA session with Mr Crottaz  where he will be sharing his insights on talent management and how job-seekers and companies can adapt to today's climate.Register here:https://share.hsforms.com/16JRHZATTS-6eYU9eLNCXQQ4b4ktThank you!",btohqsg
I assume they’re talking about those people who sell ice cream from bicycle stands and stuff,btohqsg
Nxt time you see one ask for their no.,btohqsg
You crack it again to re-fix it HAHAHA,btohqsg
okok i will go to doc,btohqsg
Hi guys  does anyone have hold of any O level listening comprehension recordings? Need to practice on it:(,btohqsg
I never thought of it cuz im stupid,btohqsg
The sentence just sound weird to me for some reason,btohqsg
idk if theres anything broken because i think i would be in a lot more pain but i will go .... eventually,btohqsg
do yall know any good econs tuition,btohqsg
dont think this is a right place to ask,btohqsg
Can ask but people who want to answer pls PM,btohqsg
We don’t really want to encourage discussion of paid tuition services,btohqsg
look at my transaction history and then my face and find the relation,btohqsg
Does the hepatic portal vein have valves???,btohqsg
Its a common misconception taught in secondary sch about veins having valves to help return blood back to heart along with skeletal muscle contraction,btohqsg
The truth is that only veins in the extremities and regions far from heart have those valves which become ineffective over time,btohqsg
But i guess for O lvl bio,btohqsg
We just assume it has valves,btohqsg
As said  you were taught incorrectly. Its like assuming every living organism has a nervous system or smth.,btohqsg
He’s Neils Bohr  the famous physicist,btohqsg
Is it normal for your diaphragm to hurt after running,btohqsg
Its the same logic as when u do exercises us muscles hurt/sore,btohqsg
Is it me or is the admins always helping out in the o/n study group?,btohqsg
Is this a secret criteria to be an admin? 🤔,btohqsg
Do you want to be an admin?,btohqsg
Unless this is part of your PSC leadership and service portfolio I'd advise against it,btohqsg
I only help on easy eyeballable questions,btohqsg
If so  can you just GPT3/GPT2 to answer eyeballable questions,btohqsg
So the mods are portfolio chasers!,btohqsg
Imagine putting ‘SGExams mod’ on your resume,btohqsg
Sounds fully qualified to join government if you ask me,btohqsg
First you must take in oxygen and oxygenate,btohqsg
Didn't know you want to be a psc scholar.,btohqsg
Bodok wants to be a SAFOS CDO BG IPPT Gold,btohqsg
Got International scholarships if that's your cup,btohqsg
Sadly I don't think there's people who are SAFOS SOF,btohqsg
Is it cuz BG too low  you want to be GEN,btohqsg
Ik some ppl who put that on linkedin,btohqsg
I didn't read this wrongly  did I?,btohqsg
Yes u did  it says ‘SAFOS BG future minister of everything’,btohqsg
Can I ask why you don't want to be a PSC scholar,btohqsg
Need details  a position doesn't mean much,btohqsg
Not a bad thing to pad it up,btohqsg
Maybe u can rise up the ranks of sgexams,btohqsg
U mean  Community Manager in SGExams,btohqsg
Should be contact only. YOU should be anle to see it,btohqsg
So this is the sgexams clique.,btohqsg
Neil u changed ur number ah,btohqsg
U didnt come to the study room when it was open....,btohqsg
Wait I can see it too since when do you have my contact,btohqsg
Bedok bedok bedok  can you help me in o/n study group?,btohqsg
The study room started so many events lol,btohqsg
Temporary study room opened last year,btohqsg
I'm late to the party. 😔,btohqsg
Bedok can you move the GDS camp to another area,btohqsg
It’s too bad we probably won’t have another Bishan place this year,btohqsg
Bruh normie civvie cannot go in camp,btohqsg
I rmb studying w yall and seeing yall (esp milo) stress out,btohqsg
Wouldve liked something similar  for As too,btohqsg
Why is it a bishan room,btohqsg
Wat about the room at Bedok,btohqsg
It was a study room in bishan,btohqsg
I think not medic went once,btohqsg
Didn't you claim to have the ability to eye power through every geog questions?,btohqsg
Can you ask him help me eyeball my problems,btohqsg
Certainly  my eyes often perceive things,btohqsg
Why dont i have yours 😔,btohqsg
brb let me pull up my problem,btohqsg
But neil getting my number is a mystery to me because I don't recall being in the same group as him before o.o,btohqsg
You can fix it as Education Minister,btohqsg
A post previously held by Dr Tony Tan,btohqsg
I have numbers of so many people,btohqsg
That is a question that only you can answer,btohqsg
I have ur number and name too,btohqsg
It is a self reminder to not talk cock when I shouldn’t,btohqsg
How does it feel to be inferior,btohqsg
John u do not know when or how to stop talking cock,btohqsg
U look fierce in uniform dude,btohqsg
Meanwhile I haven't even seen where is my rsaf uniform,btohqsg
I received mine for a month already,btohqsg
;^; guess I'm stuck with being green for the moment,btohqsg
Why be green when u can be blue,btohqsg
Why be orange when u can be orang,btohqsg
Imagine not going into spf when almost all your classmates are there,btohqsg
Imagine that only 5 ppl from our sch within the last 3 intakes made it to GRF,btohqsg
I only have 1 or 2 classmates in RSAF,btohqsg
And 1 of them may be a sign on,btohqsg
But his rank is a sign on rank,btohqsg
So he didnt get an insignia,btohqsg
But a rank he sign on paper ?,btohqsg
Sorry i dont understand this peasant talk,btohqsg
Didnt even realise its 1 am now,btohqsg
Tot its like 8-9 or smth,btohqsg
My friend called me when i was sleeping but somehow when i woke up the call is ongoing.  Magic,btohqsg
@chemcerviewed your profile 5 hrs ago,btohqsg
Its the person not the photographer,btohqsg
When will u reach 100 dps on telegram again,btohqsg
I wonder how life is like in the navy,btohqsg
I mean it wouldnt be an effective navy if it werent in one piece,btohqsg
Many ships :) more effective if it is made of many pieces,btohqsg
Wait so you're saying the SAF admirals can just knock out people by willing it!?,btohqsg
If you try hard enough  anything is possible,btohqsg
They can stop earthquakes by being very determined,btohqsg
That's why singapore has little to no major natural hazards,btohqsg
That explains why covid is a manmade bioweapon,btohqsg
It didnt originate from bats.... but from the minds and workings of our most senior generals......,btohqsg
They prolly wanna be batman thts why they eat,btohqsg
You guys know where good place to study,btohqsg
How is such a place more conducive than home,btohqsg
listen to k-jams and pretend you in a k-flix,btohqsg
People chattering about not distracting meh,btohqsg
Makes my blood boil everytime i hear someonw talking when i wanna focus,btohqsg
I adapted to using cold turkey during covid so it blocks youtube during the day,btohqsg
I mean it's free so you can download and use,btohqsg
Plug it when its ben leong party equivalent,btohqsg
Tinder and okc is pretty much dead now,btohqsg
Another three months of cutting hair how to have game sia,btohqsg
U still need cut until so short meh,btohqsg
Two one might as well one one,btohqsg
Cafe idk if they allow prolonged staying leh,btohqsg
I went coffee bean they chase me out :(,btohqsg
And smaller cafe sometimes no wifi,btohqsg
Alright. Will check some near my vicinity,btohqsg
Imagine having non dr marten boots,btohqsg
Is 4 h straight tuition normal?,btohqsg
I had a 3/4hr class once and there were 2 breaks,btohqsg
It was half work half explanations so not bad,btohqsg
Yo did yall just hear that siren,btohqsg
Just a single long pulse too,btohqsg
it rang at 10am this morn,btohqsg
Oh god please do NOT blast Home to us,btohqsg
that was confirm all clear signal,btohqsg
Yeah same i was so surprised,btohqsg
Imagine the gvmt being able to play Home or some other song,btohqsg
they can play anything if they so desired,btohqsg
they can play the test chime,btohqsg
which means its capable of outputting noises beyond sirens,btohqsg
If u have self control then it okay I guess,btohqsg
Managed to catch this floating by,btohqsg
U.S. President Donald Trump said that he will act as soon as Aug. 1 to ban Chinese-owned video app TikTok from the United States.➡️https://bit.ly/3fkUumm,btohqsg
Finally  the one good thing he does,btohqsg
Oops  I might have jinxed it,btohqsg
Don’t trust anything he says until it is done,btohqsg
He's full of hot air half the time anyways  so it's good/bad,btohqsg
I wonder if they’re gonna fly the flag around the whole SG,btohqsg
Imagine the govt being able to broadcast everyone’s sleeper agent awakening code at full volume,btohqsg
What are they gonna do for this years ndp,btohqsg
Thats so sad i cannot celebrate,btohqsg
I've actually been watching the Rent a girlfriend anime recently and it's quite good,btohqsg
Huh got so needy until need rent a girlfriend meh,btohqsg
LMAO OMG I SO MANY PPL THAT WANTS TO EARN MONEY KSKSSK,btohqsg
escorting without the sex I guess,btohqsg
I can escort you also Johnny UwU,btohqsg
How about another game of badminton,btohqsg
and also there are so many girls on the platform sia,btohqsg
No it's not just escorting  it's escorting with a very nice wrapping paper,btohqsg
Where's your proof? I say somebody can tackle the niche market of rent a boyfriend  since everybody assumes that is a non-market,btohqsg
Wha-? Are you going to pay in pellets?,btohqsg
Ndp squad need stay another 1 month at hta,btohqsg
I already staying three months whats ur problem,btohqsg
Not everybody in ur squad need stay right,btohqsg
No one needs to stay now,btohqsg
Ofc i am a thinking po i think of things incomprehensible by mankind,btohqsg
The food okay wad even my FI agree my food is good,btohqsg
The vegetarian stall lady loves to cook bro,btohqsg
I have only been to hta cafe once,btohqsg
Ive never been there its so sad,btohqsg
Yes of course  these occasions and nothing else,btohqsg
Rent an s/o to flex on the gram,btohqsg
IIRC the animoo communities don't really rate the pl0t highly,btohqsg
I'll probably watch it for other reasons,btohqsg
Just thought i should share with yall,btohqsg
Well  technically supposed to be OOC so not really,btohqsg
But he has 18 awards so he must be doing something right,btohqsg
Lolol hi chicken rice are you for rent? 😂,btohqsg
Good morning guys Does anyone knows what is NASA,btohqsg
I got a Research work in my school,btohqsg
Regarding NASA what is its full form friends and kindly explain me the Research work about NASA AND DETIALS if possible any one knows?,btohqsg
What are the movement launch by NASA plz help,btohqsg
I like how youre asking this at this hour,btohqsg
I will get beatings from my teacher,btohqsg
But try google ah shud have what,btohqsg
No i am unable to understand from google,btohqsg
My Motive is to make sentence short not to coppy paste from google,btohqsg
I'll see if i can help,btohqsg
In google there is huge ans and long Senteces I need in simple language proper Essay of NASA,btohqsg
Ok but make short senteces of NASA AND FULL FORM and I need some points kindly help now if possible,btohqsg
Can u plz do in a sheet of paper now and send me in group or in private message I need theorotrical research of NASA this is my assignment guys plz help anyone,btohqsg
NASA is a U.S. government agency that is responsible for science and technology related to air and space,btohqsg
No dear I need more points this is less Research give me more points of NASA??,btohqsg
I nedd some more points as my Teacher told I need to do in A 4 sheet paper and With proper bullet. Points,btohqsg
So plz give some more points????,btohqsg
Plz help me guys i am in hige issue,btohqsg
I need more points on NASA friends plz help me now if possible,btohqsg
Can u give me more points?,btohqsg
you need to be more specific,btohqsg
are you from singapore@MERA_NOBITAS? just wondering,btohqsg
Ok My question is What is Full Form of NASA,btohqsg
Okay well plz help me out,btohqsg
And plz explain me Defination of NASA and Importance of Nasa,btohqsg
yea you can google it thi,btohqsg
In google there is Wiki pedia and ans is so long guys,btohqsg
like when you google NASA you can scroll down and see the profile,btohqsg
you dont even have to click on any links,btohqsg
Ok so Can we say Organisations and Company are same,btohqsg
Im pretty sure this is simple enough,btohqsg
if you need 'more points' u have to specify what exactly you mean by that,btohqsg
Well my Teacher gave research work not For coppy paste he or she gave me Understand logic of NASA as we have summer vacation my techer is Dam strict so plz understand he needs tommorow and I need to speak clearly regrading NASA also he told u can research on Google but do not coppy paste,btohqsg
That is the Reason plz understand,btohqsg
No google plz use google as Research tool but make your own sentence as he will ask us to read in zoom app,btohqsg
Tommrow plz understand help me out any one,btohqsg
sorry but why are you asking us to do research on your behalf?,btohqsg
Of NASA guys in buller points,btohqsg
you can just google and rephrase words too,btohqsg
I am asking as my friends are Not Available all are sleeping,btohqsg
looks for synonyms etc. in a thesaurus,btohqsg
it is night for all of us. 4am,btohqsg
So can we say Organisations and Company and agency are synonym??,btohqsg
They are all the same thing,btohqsg
Ok no issue plz help tommorow morning,btohqsg
Guys plz help me tommrow I need more points,btohqsg
you have a research paper  that is your responsibility  you come here suddenly and start rushing us to give you information as if we are from NASA. don't mean to be rude but you have to understand that we have to do the same amount of research as you to get information so this is really weird,btohqsg
Listen I am doing for school Purpose guys,btohqsg
Plz do not take it Seriously,btohqsg
I was just asking for help here,btohqsg
I thought someone will give me handwritten ans in a sheet of paper all points of NASA,btohqsg
Ok no issue tommorow we will see,btohqsg
you expect random people to write an essay for you? 😳,btohqsg
As in my country my friend they do not help,btohqsg
I ask help they use google,btohqsg
and how are we supposed to know every piece of information from NASA?,btohqsg
Same like u all did from google,btohqsg
yes because WE ARE NOT WORKING AT NASA,btohqsg
where else would we get information from ????,btohqsg
So then u might to know it more than us,btohqsg
Is it is in India or Singhapur,btohqsg
So NASA IS NOT IN INDIA OR IN YOUR COUNTRY,btohqsg
So NASA is not in India,btohqsg
bruh did you think that we are NASA or something  honestly?,btohqsg
And NASA is neither is Singhapur,btohqsg
I was just asking bro for help,btohqsg
bless those who was up at 3-4am,btohqsg
Lol is that person from India kicked?,btohqsg
I wonder how they found this group,btohqsg
I don't think he's a troller,btohqsg
I’m pretty sure this group link has been shared in some Indian group or something,btohqsg
Need to change the link then,btohqsg
I honestly think people don't google enough,btohqsg
We need a go google sticker,btohqsg
bro  i think u need english tuition,btohqsg
In other words draggin ppl to have tut tgt,btohqsg
"a proper sentence should go""Hello  is anyone having tuition at ETG? I can give you 100 bucks in return for something. People who are interested feel free to PM me?""",btohqsg
so i ask ppl who alr go,btohqsg
nobody got time to type proper english here,btohqsg
so we can get referal promotion,btohqsg
Which is why he called it a scummy promotion,btohqsg
Referal doesnt work when the person is already going to that particular place,btohqsg
U arent “referring” him or her anywhere then,btohqsg
Ok I see the nature of the message now,btohqsg
i was gonna say milo but he not spf or in town,btohqsg
If my work is at home and I live in town does that count??,btohqsg
Happens to be a male with  498 followers,btohqsg
Where to find such a person i wonder,btohqsg
Must also pre-date milo in this grp,btohqsg
is it a good idea to squeeze 3 lessons together in a same day,btohqsg
if its a mix of lectures+tutorials its ok,btohqsg
not even when all is online i guess,btohqsg
i wanna clear my mods asap,btohqsg
but the pre assigned mods have the worst time slots,btohqsg
i wouldnt call it a lecture,btohqsg
Just don’t go for the lectures,btohqsg
Wow and i thought 2hrs was long enough dafuq,btohqsg
If is online i guess is okIf f2f gg,btohqsg
Better than total 4 hr of lesson with no break,btohqsg
i scared half way they change policy,btohqsg
usually they will end early one la,btohqsg
Unless i tio the luo so prof,btohqsg
later if all f2f i cfm cannot reach classes in time,btohqsg
if i squeeze the 3 lessons tgt they are 15 min apart,btohqsg
and lasts from 8am to 5pm,btohqsg
or those w v thick accent,btohqsg
Do you have to wear masks for those long 3 hours?,btohqsg
as long as u are outside need wear what,btohqsg
It’s not like you’re running or anything,btohqsg
U wont need a mask then,btohqsg
U won’t need anything any more,btohqsg
u just need to be in AFTC,btohqsg
