text,group
Abundance buyer keep on top up..wanna 4pm show?,btohqsg
Bought CPH $0.006. This Micropenny suddenly got some significant volume. Take a punt  BBs might rotate to this one. Lets see. DYODD.,btohqsg
Mine one is from delongi...the one in company pantry,btohqsg
Mmp resource 4 5 volume built up slowly,btohqsg
Wahh oceanus now got cover by nextinsight ah,btohqsg
Anyone has any idea for Exela Tech Stocks?,btohqsg
The Place why no action sia. V2Y sibei busy up and down 😂😂,btohqsg
cos it should be $8.88 right?,btohqsg
What happened to wolverine vision 388,btohqsg
CPH wait very long for you,btohqsg
MT preparing break next pip  wall created 1.14,btohqsg
Went up so many days...and so much..still got ppl complain,btohqsg
Cdw power ... something is brewing,btohqsg
4pm party - which counters ???,btohqsg
People big fry come here rah rah with us meh,btohqsg
Go 30 cents prepare from ur EGM tmr,btohqsg
Heard they went MT group chat and left?,btohqsg
Somebody is really controlling Aspen very well👽👽👽,btohqsg
wolves  appear when they looking for food,btohqsg
I feel so... absorb so much,btohqsg
Sam asked if no party how?,btohqsg
Maybe need to summon bank julius then will move is it,btohqsg
Aspen can wait a few more days  pick up first and BBs will surprise you when it’s ripe,btohqsg
Oil price moving up the knn REX still hentak kaki🥶🥶🥶,btohqsg
!!!!! I help you add more power,btohqsg
Lol u shout i tot fly liao,btohqsg
I try this from now on!!,btohqsg
Ask furion write article then is faster😂,btohqsg
Since when I false alarm one !!,btohqsg
Added Trendlines $0.098 earlier. DYODD. This one looks like brewing in the background.,btohqsg
All stock wait biden take over ar?😂,btohqsg
Last time I always kena from Jerry leh,btohqsg
This seller Du Lan already.... like me so sian liao,btohqsg
Haha. Faster. Ask them to act on it quick!,btohqsg
Ya no fake alarm. No !!,btohqsg
Marco 52wk high @26 was in 21 Jan 2020. So tomorrow will it repeat and chiong to 26 on 21 Jan 2021. Exactly one year.,btohqsg
Wait for 4pm Sam's show better,btohqsg
GKE gogo  Break 149/150 and close at 152/153 !! huat ah,btohqsg
MT build 1.14 wall wait sellers,btohqsg
Don't link me with bbfa leh,btohqsg
So many Jerry. Then where is Tom?,btohqsg
Then got tom and jerry combo,btohqsg
Lols i bought near that high,btohqsg
Wah you hold so long ah,btohqsg
Wow!! Almost half of 26 at that month of Mar 2020,btohqsg
Ang mo hui today bor lug.,btohqsg
JT seems capped at 110 Liao...,btohqsg
watch the place    hourly turning !!,btohqsg
Wait for it to retrace when people are taking profit and hope for thw second wave in the last from 69 to now 110. Huat arh!!,btohqsg
3 more mins to 4pm show,btohqsg
