text,group
one man's fault is another man's lesson,btohqsg
Wa long time no break 1K msg from this grp,btohqsg
ok nvm.. i wont blame you... i never had the courage to confess either,btohqsg
i hope whoever ure dating is more perfect than i am,btohqsg
i wish you all the luck you will ever need,btohqsg
when i am awake doing electrophilic addition,btohqsg
why else would i live in bedok north?,btohqsg
u thought it was a pure coincidence?!,btohqsg
yes i was trying to fill up the void,btohqsg
rmb that one guy who tried to sell u tissues,btohqsg
im holy enough not to touch those kids,btohqsg
if anybody should fill this void of mine,btohqsg
now i see ur true colours,btohqsg
i am lucky i hadnt confessed to boost your ego...,btohqsg
but its ok.. its in my heart to forgive and i will keep you in my prayers.,btohqsg
js like that the drama died,btohqsg
died tgt like my love for bedok,btohqsg
u clearly know whats gg on in s2 ;),btohqsg
i had fun filming s2 ;),btohqsg
u will be surprised bro... stay tuned to season 3 to find out!,btohqsg
she gonna watch our drama on 123movies,btohqsg
i did not understand a word there,btohqsg
sometimes your efforts do not translate into results....,btohqsg
just like my love for you didnt work out...,btohqsg
she know your msg damn laughable,btohqsg
but if i put in at least half of your effort  I can do well for Os alr,btohqsg
she come here to flex on everybadi,btohqsg
she sleep in exam still get A,btohqsg
yes sis we give u the attention u deserve now,btohqsg
she put all the 90rp'ers to shame,btohqsg
u see she revise today only tmr 90rp,btohqsg
shes the reason why singapore is so smart,btohqsg
shes the reason why tuition exists,btohqsg
u watch him and laugh at him?,btohqsg
or did u teach him all those,btohqsg
i’m sure u can do better than zeng,btohqsg
in her mind she be thinking ‘zeng so stupid ah?! even noob can do better than him’,btohqsg
but srsly speaking here  u can be the next zeng man,btohqsg
proceeds to get full marks for everything,btohqsg
ez to her is js baby stuff,btohqsg
thats cause the teachers cant comprehend what ure talking about,btohqsg
u going jc was not wrong at all,btohqsg
she go jc just to flex,btohqsg
u expect a moe trained teacher to grade a legend??,btohqsg
everyone in this gc ought to cower in fear whenever you talk,btohqsg
sis probably built the pyramids of gyza,btohqsg
my english is so bad that i cant understand what ‘omniscient’ means,btohqsg
"""false"" proceeds to get 7 distinctions",btohqsg
u were just having a warmup bro,btohqsg
topped the whole SG w her amazing results :),btohqsg
