text,group
😆don’t need to do brows first dear! Come for other treatments  then let the therapist brow design for you (draw/ thread/tweeze),btohqsg
why does it sound more and more like advertising,btohqsg
Btw we only operate on weekdays :c,btohqsg
I am trying to find participants for my therapists :c,btohqsg
FOC one ya  won’t be selling anything here,btohqsg
go sacrifice to be guinea pig den like push to neighbour (strip) to shave off brows den might get pushed back to do new brows,btohqsg
They won’t shave off brows hahaha! Oh no,btohqsg
Okay  I will stop spamming. Just wanna share ☺️ thanks for the questions 🙏🏻,btohqsg
For a moment I read that as... we strip next to us... 😂🤣🤭,btohqsg
Any photos or video of people already done it will be nice .,btohqsg
Sorry  due to pdpa we cannot share : ),btohqsg
PDPA is only breached if u send whole face laU send eyebrows only it is not identifiable what,btohqsg
I suggest you guys can come and see,btohqsg
Haiz .. you just lost yourself a potential client .,btohqsg
Like pinky said  it could be fake : ) i posted a story of the therapist and the training school ya,btohqsg
Is FOC : ) come la,btohqsg
No no  can choose all also 😂,btohqsg
Those interested  can pm the browhaus,btohqsg
U can promote at@sgfreemarketif u want,btohqsg
The one u intro de very gd !,btohqsg
My left eye cannot open this morning,btohqsg
So i slept all the way lol,btohqsg
Good right! I do 4 years liao still nvr fade,btohqsg
Mine coming to 2 yrs in jan. No touch up at all,btohqsg
Yes! I rem i take govt money do 🤣,btohqsg
Can take gov money go touch up 🤣🤣,btohqsg
I think my one can tong another 2 years,btohqsg
You know some brows after a span of time the colour will turn light or even red,btohqsg
My one still the same colour,btohqsg
Colour nvr turn red jiu hao,btohqsg
You got see her face ah? She very pretty sia,btohqsg
Yes! B4 she put on mask,btohqsg
Colleague put a donut on my tableAnd my hand grabbed the donut thinking that’s my mouse,btohqsg
When I saw the photo I already expected that  don't need to read ur captions,btohqsg
Don’t want waste the chocolateLicking my fingers LOL,btohqsg
So erotic doing that in office,btohqsg
The donut got 1 bite already🤣,btohqsg
Not a bite! It’s my finger niam dao the chocolate,btohqsg
Upstairs seats damn ma fan.. need to bring food n walk up 😅,btohqsg
I now waiting to see doc lor,btohqsg
Doc says might be cornea infection,btohqsg
This year de quite cute leh.,btohqsg
Got money  a lot of things is cute.. no money  yusof ishak cuter 🤣😂😏,btohqsg
Then what else she said? Give antibiotics eye drop?,btohqsg
1 for infection 1 for irritation,btohqsg
maximum 3 days  jiu recover liao,btohqsg
Ya doc say no gym no exercise for the time being,btohqsg
My left eye vision now very blur,btohqsg
Could be from the gym kena .That’s y I use my own towel for face .,btohqsg
I use my own towel too,btohqsg
Is it after see that pretty lady in gym 😁,btohqsg
Especially don’t use hands to rub eyes or contact with nose or mouth after using the equipment.,btohqsg
The worst is ppl who sick still go to gym and keep coughing and sneezing.,btohqsg
As my mum saysMust be u saw Lao Ah Pek KKJ,btohqsg
For ur case probably Lao Ah Mah,btohqsg
Did u order the skinny brownie?,btohqsg
Thks to intern last day..my boss treat us,btohqsg
I dunno what to drink. I order hazelnut latte,btohqsg
I got 2 eye drops to apply,btohqsg
Oh cuz that’s the new oneIt’s not nice anyways,btohqsg
The brownie dryer than Sahara desert,btohqsg
Fat free food always taste horrible,btohqsg
Coffeebean i ask less sweet.. dunno have or not.,btohqsg
Their less sweet = less hazelnut syrup,btohqsg
Sigh.. y my intern like coffeebean,btohqsg
Unlike StarbucksFlavour and Sugar is separate,btohqsg
I nvr say my intern race at all,btohqsg
