text,group
still trying to figure out fj...what is his next move...,btohqsg
How much u q ? 193?,btohqsg
i would not be too concerned simply because of the extremely low trading volumeand all forming a strong support at 250if in doubt go into longer term chart,btohqsg
SY best! safe haven in tough market,btohqsg
DM weekly the doji is a potentially reversal. which i arrowed,btohqsg
Furion you hold DM how long Liao?,btohqsg
SgYuankindly post chart for Koh eco pls. Thanks,btohqsg
when technical and books seems to point a diverging direction to me i will be wary,btohqsg
seems a secret stock want move. observing still,btohqsg
likely a scaredy cat bb cannot scare it away. just took a fun punt ytd. see how,btohqsg
Camping for JT but don’t want let me buy,btohqsg
Ok thanks for ur advice Furion  learning to see chart n it's outcome🙏🙏,btohqsg
another thing i will take note. firstly a channel that prob reaching support too.next is the high vol days on green candles also bode wellnote the small highlighted ones are all the dragonfly and gravestone which end up meaningless eventually. volume low the candle is easily drawn,btohqsg
SgYuanthank you for the chart 🙏,btohqsg
Aventus looks tempting to enter what ur views,btohqsg
pan asian rising up sneakly? 😅,btohqsg
Ah interesting...thanks for the pointers  will study long term instead in the future.,btohqsg
end of the day the candle is a guidance but all stocks got own characteristics dont be so fixated on 1 candle to make a story,btohqsg
not to mention havent even look at some oscillators for reference.,btohqsg
BB no let me have 193...,btohqsg
I seriously have no idea what’s this,btohqsg
Meaning the love one left n dunno when returning,btohqsg
ya good market left and dk when returning 😢,btohqsg
The lyrics understand la but what’s the song name,btohqsg
So long nv shout lai...one mouth...standby...jy...gx...u all shiok anot...,btohqsg
I try Top global small small...😂,btohqsg
I think all understand u here,btohqsg
The name that just join seem suspicious,btohqsg
Metal comp T4.. next sup 32 then 28,btohqsg
JamesMaybe dm to come alive today,btohqsg
Cement..  morgan selling izxit.. so weak.. next sup 55,btohqsg
Whatever pennies up just short  no down open short,btohqsg
hk market more jialat breaking down h&s,btohqsg
Old penny in play 1 by 1.. this not move yet.. still at supp 23-24,btohqsg
waa   ouch.!!! jt really gostan kena me..,btohqsg
Today the 9am BBs chose Nippecraft to P&D.,btohqsg
Wonder which one they aim for tomorrow 9am,btohqsg
Hit the right one - 1 trade 1 day enough.,btohqsg
Now got to play that way i reckon. Earlier lucky to get in Nippecraft 46 and Fifo out within a min.,btohqsg
Market got open like no open,btohqsg
This chat more movement than market,btohqsg
Net Pacific got players supporting 25 still. Still got some hope.,btohqsg
See Liao shag sian my own holdings haha,btohqsg
Should create another groupSGX Stuckist Group Discussion,btohqsg
I think that chat only will have movement when the stock go up like Sy,btohqsg
i think is like that liao haha,btohqsg
That’s why many here go US side,btohqsg
The odds to crash is so much higher than a rally.. Investors not much confidence,btohqsg
I thought many waiting for that crush,btohqsg
Bought this 'New Kid on the Top 30 Block'   AF Global $0.068. DYODD,btohqsg
