text,group
yesterday huat so much koh eco,btohqsg
count money until cannot wake up is it,btohqsg
No movement.. He seldom post ba,btohqsg
furion count money until need pop panadol,btohqsg
VV3 BB please come and play,btohqsg
Anyone in this chat are my fav..,btohqsg
3000 more before group closed to entrants haha,btohqsg
sounds like a warning to me,btohqsg
he tell me number swee swee thats why mai kick me,btohqsg
Can use the “other” group style. Add people anyhow . End up 8888 members  online 1500,btohqsg
Any chance to invite John n heegul back?,btohqsg
No driver market won't move wor,btohqsg
lunch hour focus eat lunch la deh,btohqsg
they no longer here le why discuss,btohqsg
koh EC gg to the edge 78 !! watching,btohqsg
you sold your koh ec liao arghhh!!,btohqsg
still holding means going up arghh!!,btohqsg
Up he win  down he also won,btohqsg
2nd time or 3rd liao lol,btohqsg
furion kor kor very bad leh,btohqsg
depend on bbs    if next 60 minutes  they can break 82/83,btohqsg
you are the master trader!! arghhhh,btohqsg
Pls kick 1 member out...now 5889,btohqsg
nobody came in or out leh,btohqsg
hi i 5888th member got freebies?,btohqsg
see luck lor quit and come back as 5889 tio kick,btohqsg
imagine tomorrow 4d top prize 5888,btohqsg
will people say we syndicate and manipulate 4d anot ah,btohqsg
i can make the number i want come out,btohqsg
5888 i think hard to buy in but can try,btohqsg
when results out sure tio one,btohqsg
Those 258 combination like to come out wed,btohqsg
furion jiak all the 5888 is it,btohqsg
I feel jt 80 will gone,btohqsg
jerry kor kor dont make me excited,btohqsg
Got chance for short term play.. Don't expect huge upside.. Few pip must run liao,btohqsg
1 pip i will run liao,btohqsg
Like hitting 83 then come down to 80😅,btohqsg
Make money most impt.. One pip and 10pip same happy mood,btohqsg
hit 83 good leh i like,btohqsg
now earn one pip better than lose one pip,btohqsg
Ya.. Not easy to make it run one pip,btohqsg
jerry kor kor what time show?,btohqsg
need you to perform tiger show,btohqsg
Boring show but I think ok ba,btohqsg
you know what is tiger show right,btohqsg
Some say tiger.. Some say thai ger show..,btohqsg
Wait lor.. If they rotate to our show,btohqsg
So far whole 6mth is abalone,btohqsg
thai billionaire very funnyis he going to list the beer or notalso F & N so undervalued as a cash rich company and low float why still listjust delist and merge suathis thai billionaire sapping up so much money dont know doing what,btohqsg
