text,group
Still doing the shittiest car job ever in lalamove,btohqsg
1 hr and still waiting at the delivery point,btohqsg
Car check  x Ray submission of all particulars  take photo of me.. Etc,btohqsg
Watch video before can go in,btohqsg
Hi can I check  is it Grab hitch now still only can do 2 trip max a day?,btohqsg
Yea it's LTA ruling. I read somewhere if more than 2 grab hitch per day  will write to u ask u dont be so hardwrking.,btohqsg
Ahaha. If mpre than 2 ask u get private hire license,btohqsg
I'm still stuck here since 2.40pm,btohqsg
Have to keep all items in locker,btohqsg
They x Ray and also human check full car,btohqsg
Everything in car also must keep in locker,btohqsg
No hp  no wallet  no coins  no Bluetooth  no wires  everything also no,btohqsg
Then customer shld select car  with motor bike  its like giving a pair of chopsticks to a customer to eat a steak and tell them to eat fast.,btohqsg
Ts send to cck dont know become what 😬,btohqsg
Dont tell me they ask u send to inmate,btohqsg
Send to officer also need put stuff in locker?,btohqsg
Many jokers la  book bike tell u dont shake  bring trolley  etc... Saw one jus now book normal bike order ask ppl buy dunno wat lettuce or leek must be from korea one 🙄,btohqsg
Ya.. The most stringent checks I ever come across...,btohqsg
And my arm rest spoil from the check,btohqsg
The officer pull it up without holding the lever,btohqsg
Why he need to ownself touch your arm rest,btohqsg
Check whole car... Need to see what needs to put in locker,btohqsg
Really full check and x ray,btohqsg
Car park at carpark  only u go inwat no meh,btohqsg
Can't lei.. I only discovered its damaged after coming out,btohqsg
And walk in is super far,btohqsg
How u guys take a screen shot on the new apps ?,btohqsg
"Go to app settings turn on ""shake to take screenshot""Then shake to take screenshot 😆",btohqsg
Stack the orders at same restaurant  same time  the guy shocked asked : is that same location? lol,btohqsg
Lol its a security feature la,btohqsg
Its not security against yourselfIf thats the case they wont put in shake option,btohqsg
U should say who dun have 4phone like me,btohqsg
You drive what lol need 4,btohqsg
Anyway speaking of whichI dont have 2 hp lolI always use only 1,btohqsg
U see me no up?I one hp can handle 4 app,btohqsg
Always see this order.. is it a big order?,btohqsg
The senoko ones.. 15 woodlands loop,btohqsg
Fare so low how to do dai lou 🤔,btohqsg
Don't jump into bigger hole. Lol,btohqsg
Why rent expensive cars to do gojek?,btohqsg
My Honda fit and cerato only going $280/week,btohqsg
Not like newer car = higher fare also leh,btohqsg
Why leh. Car and motorbike cannot meh? 😳,btohqsg
Rent coe car. Can hitch. Can gojek. can llm. can go home sleep.,btohqsg
Waa receive call from lalamove. Say customer complain me about 2 days ago order. Say no invoice issued to him. Like that also my fault meh? The company never issue then i kenna Penalty sia,btohqsg
Invoice should be LaLamove give one right?,btohqsg
You never ask how to issue invoice,btohqsg
Say i am suppose to take from sender all,btohqsg
The CS say they have to refund customer the money all,btohqsg
Crazy anyhow take other ppl's black pot,btohqsg
