text,group
idk i never touch the car bro,btohqsg
Cgi stock also no sound one,btohqsg
I sometimesGo dabao porridge there quite siock,btohqsg
Bro your new car Haven show us yet 😔,btohqsg
Collect le den come re take photo shoot,btohqsg
You and@evokorkorno intention to play go kart that we organise ah,btohqsg
I reservist this 2 weeks sian stay in,btohqsg
U never see my front one fist spacing,btohqsg
Shag leh recently very suay a lot things to settle… kena police case somemore,btohqsg
My shop tio break into by ex employee  4 outlet kena,btohqsg
Who going for car meet today??,btohqsg
Ya lor 2 days ago kena caught by police now assisting with investigation,btohqsg
No need assist just sent in no talk,btohqsg
In his dreams also the hand moving,btohqsg
SHD3586R - Comfort TaxiCb driver see people nearing pedestrian crossing still step on accelerator and dash across. My dad was already on the path and the driver didn’t even hesitate to stop.My dad confront him then he still say its not pedestrian crossing and arrogantly drive off.,btohqsg
He was going at least 30 to 40 in a carpark straight across the zebra crossing,btohqsg
Very very angry very very upset,btohqsg
If my dad had not stop he would’ve been banged,btohqsg
Complain n report to comfort taxi,btohqsg
You guys just take note on the road.. this driver i think got problem,btohqsg
Good choice to make a police report,btohqsg
Can even hear the engine of the car from when the taxi is nearing to the zebra crossing,btohqsg
They drive like they own the road,btohqsg
Confirm plus chop he step full on the accelerator,btohqsg
Then after that they sponsor car parts for me 🤷🏻‍♂️,btohqsg
On my first mazda 3 the foglights were sponsored by taxi,btohqsg
Second mazda 3 the rims were sponsored also,btohqsg
Sponsor?? They sponsor fake statement cfm,btohqsg
I dunno what statement i send video to my insurer and settle,btohqsg
Just take out the wiring for the whole car say taxi fault🤭🤣🤣,btohqsg
Some of them drive really brainless don’t understand why,btohqsg
What is there to statement when my video i driving straight and the taxi swerve into my right side,btohqsg
What is there to statement when from lane 2 swerve across lane 3 to make a left turn,btohqsg
Both cases i exchange less than 5 words with the drivers,btohqsg
Call insurance  deposit car at workshop  take replacement car key  life goes on,btohqsg
Ws calls  say hey pls make sure my alignment straight i want to see the alignment chit,btohqsg
Wtf? How was it chaotic sia,btohqsg
Last seen and happened at Lorong Ah Soo. Police report has been made and matter transferred to Traffic Police.,btohqsg
Ya send in Liao now assist police is so I can retrieve back my loss and also wack him 9696 make sure he sit many years,btohqsg
I didnt know you stay here,btohqsg
So angry !!!!!!!!! My dad even waved his hand up to indicate we want to cross he still speed up,btohqsg
Haha sg is like that one.. just like signal to change lane drivers also speed up!,btohqsg
Oh wait nope his wing different,btohqsg
ooh I thought was him lol,btohqsg
I see the brake light remind me of him 😂,btohqsg
Yeah same brake light but its nor,btohqsg
But it's not common to be fit,btohqsg
But is it common to be jazzy?,btohqsg
I help u video u slap him 😂,btohqsg
What shop maybe see I got thing can buy,btohqsg
