text,group
Too free la. He’s being paid for such ah.,btohqsg
End up all is a victim of the same person,btohqsg
I think he lack of attention,btohqsg
That fella then talk alot of shit la,btohqsg
All the car below 4L one all junk,btohqsg
The best part is i doxx him till i found out he drive a harrier,btohqsg
Dox tsy. I wanna see his model 3 hahahaha,btohqsg
Atleast he got money for harrier.,btohqsg
Alot of work sia. He not worth the effort HAHAHAHA,btohqsg
And idk why ppl titi haolian they drive maserati,btohqsg
Recently on instagram also 1 fella talk shit about my car,btohqsg
Then he say he drive maserati,btohqsg
I sat in a multimillion vehicle b4 and I don’t dare to show off,btohqsg
I am like oh lai meet up leh,btohqsg
Then all gwgb many excuses dowan meet up,btohqsg
Now my another group say model 3 might be his father one. Hahahahaha,btohqsg
The multimillion vehicle I sat in,btohqsg
I doubt even have la tbh,btohqsg
He ride escooter till high already,btohqsg
Huh? Now morning high alr smlj,btohqsg
eh his comment got tag someone,btohqsg
that someone got like an old friend,btohqsg
Tell him  maserati is worst car ever. Want sports not sports   drink like no tmr but not fast . Old technology 4.2l can’t even outrun a 2.5l . Spoil here spoil there .. sticky buttons everywhere.,btohqsg
you see his fake acc also alot of shitpost ah,btohqsg
But if give me I will take,btohqsg
U take .. but most time can’t drive. Cuz at workshop waiting for spare parts,btohqsg
Clutch only can rebuild my engine,btohqsg
The things that spoil is those very uncommon things that can happen in a normal car,btohqsg
fred is right  its a rubbish lol,btohqsg
My air purifier is smarter than the car .,btohqsg
Your good friend reply liao hahahaha,btohqsg
“I just don’t want pay coe” LOLI think he doesn’t know what is coe for. Hahahaha,btohqsg
Thats why i asking him issit malaysian car,btohqsg
I wanna know if 140k coe or 30k coe which one is spend smart,btohqsg
Cb spent smart don’t need pay coe.,btohqsg
No leh. He say coe 200k hahahahaha,btohqsg
So now I know  new car don’t need pay coe 😂,btohqsg
"""You want come see what car i have at home?""",btohqsg
no idea HAHAHA i saw roi typing so i come see,btohqsg
Is just boliao ppl on facebook talking shit la,btohqsg
dead people oso dont have 💀,btohqsg
They die already social media wont be deleted,btohqsg
HAHAHAHAH Y SOUND SO INTO ONE,btohqsg
then if they from ww2 how,btohqsg
so i could be older mah,btohqsg
o ya i heard sg wanna ban tele,btohqsg
But before@roincecko  pass us the keys and the mini gt,btohqsg
I think they having issues regulating illegal stuff,btohqsg
cos all the vape and porn and human trafficking,btohqsg
thTs y they talking about it,btohqsg
