text,group
sginvestorsGOLDEN ENERGY AND RESOURCES LIMITEDUpdate on use of proceeds from placement of 285 000 000 new ordinary shares,btohqsg
This one wasn't the catalyst for the sell down past 2 days?,btohqsg
No....this one need to report monthly,btohqsg
Kimly ($0.380)- Joint Venture announced this right after today dividend record date.I see more plays coming up for this one ☝️More for mid-longer plays especially.DYODDSource:https://www.sgx.com/mobileapp?action=view&cat=company-announcements&id=4K3BNNFMLYFCIS09,btohqsg
Wow tml red red wine again,btohqsg
SgYuanrest well and get well soon..,btohqsg
i am covid +venot much mode to chartprobably next week,btohqsg
US market crash  oil jialat Bitcoin 🙈Down down down,btohqsg
Lucky government still giving 10 ART kits,btohqsg
I got alot art kits nvr use😂,btohqsg
My friend came bk from Saudi kana positive pass to whole family.. Still pa pa zhao.. Go office pass to colleagues.. Very irresponsible,btohqsg
Any court that is air con one?,btohqsg
green🍏green💚.. that mean after 2359hrs US indices rebound 🪃.. 😬,btohqsg
Take care & hv a gd rest..my🙆🏻 respect Snr. SgYuan,btohqsg
Yuan charting also can Jena COVID. Rest well and speedy recovery.,btohqsg
Oil below 100 then got chance,btohqsg
I kena c+   mild symptoms  but took 11 days to clear c virus,btohqsg
So easy to make money ah,btohqsg
SgYuantake care and get well soon. Thanks for all your charting. Have a good break.,btohqsg
US indices V rebound🪃 2359hrs..see 2nd half liao.. Gd🍀nite,btohqsg
Maria Arnoldhas been banned! Reason:CAS ban.,btohqsg
Kimly subsidiary enters into JVA for short-term HDB coffee shop lease at Kitchener ComplexRead:https://link.theedgesingapore.com/3V4NpmfFSyYsFnBQADownload our app:edgesg.link/appdl,btohqsg
Btc rally 10% after US mkt close,btohqsg
Nice👍 for traders.. but still needs approx. +240% efforts in order to climb bk ATH for those long term kena strucked investors,btohqsg
Micron forward earnings forecast not good. So those semiconductor shares may not be good,btohqsg
Accordingly  the worldwide chip shortages are at the tail end  and may face overstocking in 2nd half.,btohqsg
So meaning tech stocks ho say lah,btohqsg
Insiders ady know semi con industry might not be good in short term dy,btohqsg
The G20 meeting in Jakarta will be dramatic if Putin goes to Indonesia,btohqsg
Sure quiet .. blue black liao,btohqsg
The Place may get lower than 75 next week if all those punt yesterday above 8 need to force sell,btohqsg
Yesterday those miss TG 33 can buy now,btohqsg
SG market vol very very low... all scared. lol,btohqsg
Wilmar up faster than 1st resource,btohqsg
Nautica 12 nobody want . 🥲,btohqsg
golden 200ma proved to be good ep,btohqsg
DFI go go go!!! Come on!,btohqsg
Golden Agri chart nice .can monitor,btohqsg
Come Mencast  hoot hor yi si,btohqsg
U sell huat  then those hoot now si lor,btohqsg
iPS got business award but can't move ?,btohqsg
Wah.. Acesian also start engine leow,btohqsg
This one also halfway off engine one,btohqsg
Marco polo 29 eat full... So can chiong right,btohqsg
will this be push up for shorting down ?,btohqsg
U buy then got vol lor,btohqsg
SiAn cfm I always first round nia,btohqsg
Don't want ganna stuck with no volume stock,btohqsg
Cfm break high mean another level?,btohqsg
Will it go below 30? Yest vol very good,btohqsg
