text,group
did u ban me by accident too,btohqsg
At keesiao bot ban at lcw,btohqsg
n then he actually got banned,btohqsg
n then i was like oops,btohqsg
No i forgot how to unban people,btohqsg
Iirc H2 physics means must take H2 maths no arguing,btohqsg
see for urself a lot of chio ppl,btohqsg
Then like bio only got 1 class got h1 maths,btohqsg
I salute all the females who went to cjc for being very brave. They took an incredible risk by going there  knowing that at any time  as a result  they too could become pregnant,btohqsg
wait is it some schs dont allow h2 bio with h1 math,btohqsg
since my chat history got leaked I might as well leak his chat history too,btohqsg
lol my classmate here ofc chip,btohqsg
But my sch allowed bio chem w H1 maths,btohqsg
I have the stand of it being a waste of time tho,btohqsg
