text,group
Only initial story was good till they continued on n the story went so off...,btohqsg
Oh ya.. sometimes we are suckers for such stuffs.. go towards the lights go towards the light 🤣🤣,btohqsg
Wa u also watch? Lol I nv watch on Le  stop at ichigo gain back his power,btohqsg
If u stand beside the neon light  the neon light become nth Le~ and the whole world will stop~,btohqsg
Obviously you don't know me enough. 😂😂,btohqsg
That’s y I wanna know u better!!! I wanna know u inside out~,btohqsg
Ya I watch animes 1 leh,btohqsg
I think u the First Lady I know that watch anime🤣,btohqsg
Last time those Tokyo ghoul  attack of Titans etc etc,btohqsg
I always pray! But ti gong no approve,btohqsg
The one got 520 shots one????,btohqsg
I only waiting for demon slayers lol,btohqsg
I see the demon kana slash till very cikgek,btohqsg
Again i watched the front part,btohqsg
Not part 2 haha but they continue on,btohqsg
That’s y ti gong no dote me,btohqsg
If you watch anime then ok. Got explain. The manga. No explain much. Lol,btohqsg
Was good till they left on a ship n went some island n started to promote their card game,btohqsg
I went to bed  ignore uncle's request to go JB 😂,btohqsg
Mmm… the shots on the Ferris wheel? 😂,btohqsg
HAHAHA I typed 52 but I wasn’t sure,btohqsg
Both of us like yao tio,btohqsg
I was. Starved myself entire day just to eat LL.,btohqsg
Else it will be more than 52 sticks,btohqsg
I wanted to  but I scared kena judged.,btohqsg
Long time nvr eat mookata also,btohqsg
I a few years never eat,btohqsg
The last I went before golden mile close,btohqsg
Ok la food not priority for me haha,btohqsg
My last mookata was at golden mile i think,btohqsg
Eat to live or live to eat 😂,btohqsg
My appetite last time very good one,btohqsg
Then u have take good care of your health,btohqsg
If no drinking today i go gym liao,btohqsg
Today leg recover a bit liao,btohqsg
Maybe like this your health condition maybe only at 20 years old,btohqsg
One of them she got plans liao,btohqsg
She told me her whole week schedule lol,btohqsg
Got meh?! I think damn long ago  liao. Even I don’t remember  lol!,btohqsg
Cos she asking me to help her setup her watch ma,btohqsg
I did vaguely recall U all did have a moo thing but I dunno the details,btohqsg
You have the honour  please. PTPP. Am 1 text away! Hahaha!,btohqsg
U should go jio some peers for mookata liao n drink some beer etc 🤣,btohqsg
I long time no moo  come to think,btohqsg
Kok Keong! The one who look like homeless,btohqsg
You all go ahead with me bah. My schedule hard to match and very uncertain.,btohqsg
Wow. Years! I’ve been in stealth mode for long. Haha!,btohqsg
Should be ok  as long as Sat night!,btohqsg
A rich & nice homeless thou. He bought us fooddddd,btohqsg
Got cake & ramly burger you rmb?,btohqsg
