text,group
Still waiting for oceanus clear 42,btohqsg
If cannot maybe I sell more 41 liao,btohqsg
Okay. Will keep in watchlist and pounce once got volume.,btohqsg
Likely to consolidate....give ppl entry chance,btohqsg
healthy pullback already done  marching to $1,btohqsg
Don't know can bash or not,btohqsg
Can Sarine tech break out soon,btohqsg
U also vested? What’s ur ep?,btohqsg
2 more days to Biden  very exciting days coming,btohqsg
Vested more than 2 years back at 44,btohqsg
I got this feeling it’s going up 🚀,btohqsg
3pm medical show ?💪.All counter accumulating,btohqsg
lai lai ausgrp dont waste time,btohqsg
"""if biden is elected the stock market gonna crash"" - trump 😂",btohqsg
CNA just mention it’s mandatory for vaccine administration  to wear face mask n ppe,btohqsg
wow japfa 980 !! huat ah,btohqsg
Next to showcase is MT and aspen,btohqsg
Both holding very well n defending their respective price now,btohqsg
today i focus on yinda  grand ven and japfa    and tmr ??,btohqsg
10 cents special dividend coming !!,btohqsg
standby for the last few days.... Chiong and huat ah,btohqsg
but i missed ISDN  JT and oceanus,btohqsg
Bought Valuetronics $0.665. GL  DYODD. 👍,btohqsg
Jt last friday pick durian 101 I also missed,btohqsg
Added some more procurri at 33.5c,btohqsg
Hopefully ISDN clears 75c today 🙏,btohqsg
I only hope japfa can hold 98,btohqsg
Quite risky to chase after up so much,btohqsg
Furion really laugh to bank with his grand ventures,btohqsg
Normal haha but patient will earn u money but real patience,btohqsg
Good to be a long-term investor. Bought this stock last year Apr/May. Hope 2021 everyone from here huat ah!!!!  😄,btohqsg
Nw I am accumulating crypto Ethereum 😎,btohqsg
71k profit one trade - nice!,btohqsg
wow  my impressive. didnt see you around before. you just joined the group?,btohqsg
One post enough to create a name for yourself,btohqsg
previously i used the name of s.s☺️,btohqsg
Really got patience! Been waiting for this moment right!,btohqsg
GL i tot mean good lucknow i know isgao lat,btohqsg
happy for your wins. patience importance.,btohqsg
Especially when ifast gapped down last year,btohqsg
Thanks  hope can huat together w the ppl here then will be good!,btohqsg
71k is big profits not locking in some?,btohqsg
salute sia.. thats why ppl always say ride your winners and cut your losers,btohqsg
will have people say u are low low!,btohqsg
Wah still don't want take profits,btohqsg
The place n v2y!!! Race to 60,btohqsg
omg that's a huge insult! haha,btohqsg
low low king of agv & anan,btohqsg
Maybe like wb...holding period is forever,btohqsg
Waiting for isdn retracement to hit. Now time to load,btohqsg
