text,group
Heng morning I didn’t panic sell my TG.,btohqsg
I will add a bit maybe just 8lot,btohqsg
Fake queue careful don’t get trap,btohqsg
Wah 30min to push opening price to 310 best,btohqsg
Is it fake q at $3 for TG?,btohqsg
i want to add  at 2.89 also cannot liao,btohqsg
this level gone liao lah  below 3 ish can get i think,btohqsg
Go buy semb Corp marine better,btohqsg
Jam as in hoot tg to go up more ah.,btohqsg
they wanna wait for bursa open together,btohqsg
ya i want 3.88 also haha,btohqsg
Ok those need go toilet go b4 230,btohqsg
388 think tmrw hit give u TGIF,btohqsg
Morning added 20 lots TG for try try. Looking good now,btohqsg
So much optimism then aim so low?,btohqsg
Now price so much lower than right worth the bet my 2 cent,btohqsg
If u have the balls to hold till 3.88 I salute u,btohqsg
So now all taking break 230 then fly together,btohqsg
Wow you more optimistic than me! 💪,btohqsg
Bro n sis dont 3$ sell can 😂,btohqsg
No wonder normally don’t see your name,btohqsg
by then laughing to the bank already,btohqsg
when it happens  we will just react,btohqsg
Ur shortist or tryin catch cheap or lose out earlier buy ?,btohqsg
Yea as though we sit there watch it drop,btohqsg
So these vaccines companies will be mailing the vaccines to your house for you to administer yourself? :) or will they be administered by nurses wearing full PPE?,btohqsg
got vaccine means no need glove and ppe? sure not,btohqsg
Usually is missed boat la.. Shortists keep quiet de,btohqsg
Vaccine spray in the sky all breathe in only,btohqsg
Sembcorp marine is gonna take years to recover. If it even recovers. Not worth waiting that long,btohqsg
MT got sell player damm sainz,btohqsg
maybe u combat medic but i dont know hw to inject myself.,btohqsg
When u are champion u got haters,btohqsg
Anyway those that miss boat better don't chase,btohqsg
I just rah rah here along with them,btohqsg
This mt shortist cover should look damn good,btohqsg
Later really all go whack when unhalt,btohqsg
You pls don’t rah rah lah. I confused by you leh bcos you usually don’t do that.,btohqsg
Must follow the trend here le,btohqsg
MT Thursday always kena sell down. Friday go back up,btohqsg
I also bought high for TG,btohqsg
If buy 2 dollars then diff story,btohqsg
Bb not so nice give u timetable to follow,btohqsg
Must wait for TG reopen.. Sentiment still no good,btohqsg
Just now went up to 2.97 damn happy,btohqsg
So confirm TG got dividends bo?,btohqsg
Sg is short market. Us is long market,btohqsg
Don't panic guys. Hold you get more reward sigh,btohqsg
Wah the mood here change so fast,btohqsg
large tell Q is actually at 3 and 3.10,btohqsg
