text,group
my bro now needa suffer with H1 chinese lmao,btohqsg
Too late to discuss since Republican primaries left with Donald Trump vs Nikki Haley and Trump is crushing Haley,btohqsg
Hello r we talking abt tables rn,btohqsg
Barring legal persecution  it will be DT vs JB,btohqsg
A drop of water and BOOMS,btohqsg
oh ya what was going on with trump when sum states said he cldnt run or smth?,btohqsg
Some states tried to remove him from the ballots citing constitution which says that a person who has sworn to take office but involved in insurrection is barred from presidential election … and DT’s involvement in 6 Jan is pretty damningBut the Supreme Court had already rejected that case  saying that DT needs to be first convicted by the Congress before it can be determined if he is disqualified,btohqsg
Some states tried to remove him from the ballots citing constitution which says that a person who has sworn to take office but involved in insurrection is barred from presidential election … and DT’s involvement in 6 Jan is pretty damningBut the Supreme Court had already rejected that case  saying that DT needs to be first convicted by the Congress before it can be determined if he is disqualified,btohqsg
It was a 9-0 vote by the Supreme Court justices 🤷🏻‍♂️,btohqsg
idk y he want to run again. js like retire alr lah,btohqsg
Conspiracy says … he runs so he can get himself out of prospects of jail,btohqsg
His supporters started generating AI images of him hanging out with African Americans to help him improve his image within that demographicQuite funny. Go google and read,btohqsg
he shld retire with all the ice cream he wants. till uk he kena diabetes or smtg,btohqsg
as of his health summary 2023. he doesn't have diabetes,btohqsg
eh u talkig trump or biden,btohqsg
dh diabetes but got alot of other health probs,btohqsg
thts why ice cream  cuz he like ice cream,btohqsg
Haha I have my political opinion but I’m gonna stay out of this conversation already,btohqsg
usa politics is js a bunch of clowns,btohqsg
I guess it’s to quell naysayers,btohqsg
Jimmy Kimmel  TDS  Last Week Tonight with John Oliver and SNL won’t be funny without the politics,btohqsg
If udk jimmel Kimmel I have no words,btohqsg
only you're able to do that,btohqsg
https://youtu.be/_m4JMTixTTM?feature=sharedJust watch this episode. John Oliver is da man. He has my respect siah,btohqsg
Nsf can queue for bto or sth,btohqsg
like younger couples can deposit a smaller percentage of money,btohqsg
Watch till the end and see what Oliver pushed one of the justices to do,btohqsg
Aren’t u < 25 % his age?,btohqsg
Oh. Go read the recent Alabama Supreme Court ruling on frozen embryos being considered children,btohqsg
Hahahaha this is not the main story. The main story is the real deal — how Oliver taunted a supreme justice to resign,btohqsg
oh my cher also mentioned him lol,btohqsg
His show has really insightful analysis but it’s US contextBut you can see what kind of questions are being asked and how balanced arguments can be presented,btohqsg
Good right. I’m so glad full episodes of his shows are released starting this season,btohqsg
It is! it is from the US perspective but can see how follow-up questions are being asked,btohqsg
I think COVID times it was quite plain … but I am loving this season so far. His most recent episode is on Boeing planes and it’s quite something to learn about the organisation with more detail,btohqsg
He actually had the audacity to remind the justice two episodes later that the offer still has two weeks left,btohqsg
I salute him. That explains his amazing winning streak at the Emmy Awards,btohqsg
This  in my opinion  actually adds insult,btohqsg
Sorry let me start a mini rant,btohqsg
So my mum now talking to my bro about pw,btohqsg
Like again telling him what not to do etc,btohqsg
Then she i think purposely go say ‘please dun say do an app  it is the most stupid solution’,btohqsg
Coz that was what i did,btohqsg
why your mum so worried lol,btohqsg
Basically indirectly saying i did the wrong thing,btohqsg
Im not the only one in the grp,btohqsg
U think i hv power to control the grp,btohqsg
She said ‘but u failed hcl what  it is possible to fail’,btohqsg
Now she just telling him what not to do,btohqsg
failing hcl vs failing pw is so different lol,btohqsg
