text,group
i spent it on lunch liao sorry,btohqsg
later i get another order ok,btohqsg
There goes my wkend earnings 😩,btohqsg
Just use some toothpaste work wonders,btohqsg
I aso today $130 gone. Duno can appeal boh,btohqsg
Reversing into the condo lot. 1 small boy just dash out  I swerve n brake but brake no fast enough  scrape along the pillar😩,btohqsg
The bus CB wait till I near the stop line on right signal,btohqsg
Just leave it lor. Wait till someone bang u one shot fix🤣🤣😂😂,btohqsg
Car less than 1 yr old somemore,btohqsg
Where got time to read when the job already snatch before finish reading ?,btohqsg
The LTA hide behind big bus. Can't even see,btohqsg
Till u cross the give way box,btohqsg
Lol relax and chill   today buy 4d and hamtam the number,btohqsg
Does warranty cover self caused damage ah,btohqsg
cannot llm relax n relax lol,btohqsg
sometimes they catch people who never obey the Give Way to Bus when Exiting  or if vehicles occupy yellow box.,btohqsg
in town got a few hotspots like the Liang Seah St full day bus lane,btohqsg
Ya.. heart pain man.. time will heal.. and also 4D.. 😂😂,btohqsg
or the City Hall twin bus stops - they stand in betweenand boat quay bus stop,btohqsg
But I appeal la. If I Kena the few cars behind me all will Kena... Turn right signal how long liao all aso never stop,btohqsg
Maybe his number 1. Give Ur also no use,btohqsg
Had $8 tips plus trip money... But still stuck UNDER review since last Friday,btohqsg
I chat CS many times... But no help. Just say the user has not accepted.,btohqsg
Home based. Stay at The Sail @ Marina bay,btohqsg
Now I dun even care about tips. Just want the main trip money also I happy. If tmr also no have.. it's the 2nd Sunday that I cash out without this trip sia,btohqsg
Woah...pick up from sail..fast2 park fast run fast2 go up,btohqsg
Must avoid this kind. They purposely dont wanna click to release ar,btohqsg
LLM also f up. Never help us,btohqsg
Keegt also kana  with Meatsmith. But money in his account within 48hrs.,btohqsg
Just continue bugging the llm cs lor,btohqsg
Novena area reception bad..no movement ...gg,btohqsg
They're useless. Just say they'll send sms to customer or they've escalated this to their team to check further,btohqsg
Oddle order put collect 1630  deliver 1700-1800.. can follow this timing instead of LLM 55min? 😁,btohqsg
I always followed oddle timing  but now banned from oddle also,btohqsg
Sometimes customer will kaobeh y deliver earlier,btohqsg
Usually oddle order 30mins buffer from pick up timing,btohqsg
Oddle automated will sent cust the delivery timing ..,btohqsg
Yea sometimes I do see the odd 1.5hr like this one,btohqsg
Distance far..less than 8km is 1hour,btohqsg
Now bo leh  pick up 430,btohqsg
Funny thing is  jewel to Loyang!,btohqsg
Sometimes need deliver 500 to 515,btohqsg
Seldom see more than 1 hour one,btohqsg
Mine 515pm sent by 6..45mins robertson to telok kurau,btohqsg
45mins lo..oddle nowdays 45mins ..usually its 1 hour min,btohqsg
Maybe  if you appear in person and f them,btohqsg
Let it rain la ...see all the bibo bibo +++,btohqsg
Just now see 1 so good 1 nvr take. Lingzhi to cantonment +$6,btohqsg
515pm got 1 order..saw that order 530,btohqsg
Nearly kena bang by 1 merc..stupid fark blind driver ..was at carpark stop as infront csr reversing into lot..this merc lady driver park head in reversing never check left mirror ...,btohqsg
