text,group
U gotta be careful when someone send a guy his dickie,btohqsg
Thats why  i feel so discriminated,btohqsg
Have to share with all right,btohqsg
Change your dp. Maybe it works..,btohqsg
Like wah lau eh. Only share with some ppl nia,btohqsg
If he never send to you then changing dp wont work,btohqsg
Lol.. I dunno.. normally I dun entertain pm.. didn't download any video though,btohqsg
there's 1 more hidden guy as girl here..,btohqsg
Aww thanks. I try my best,btohqsg
Watermelon. It's one of a kind.,btohqsg
Been in bed the whole day,btohqsg
Feel like buying for fren's kid,btohqsg
I only ever remember them being brown and inndesserts,btohqsg
I go c later. My bac is killing me,btohqsg
Its the weekend! Time to rest and relax.,btohqsg
Went jogging. Siam bicycle  kena pothole. And that sudden jerk.,btohqsg
Ya. Sian n painful. Give way to others n I suffer.,btohqsg
At least he’s getting some 😩,btohqsg
I wanna be the guy on yhe left,btohqsg
tiring to shop  but damn fast to finish,btohqsg
Yea I was at donki grocery shopping  so many ppl!,btohqsg
Bugis still ok leh. Not as crowded as expected,btohqsg
This week de shopping~ hen Satisfying~~,btohqsg
And is nasty cookies good? The queue was super long,btohqsg
Ben's cookie at wisma having closing down sale~,btohqsg
I heard sold out le 😭,btohqsg
Tml last day the sales~~ can go early~,btohqsg
But probably won’t go town tmr le  it’s ok maybe can find similar ones,btohqsg
That beef can make alot of dishes!,btohqsg
My whole fridge like almost all shabu shabu type of meat,btohqsg
Go with the man mus fast game  else he gimme the buay song face,btohqsg
I like sweep sweep sweep everything I need  den jiu done le,btohqsg
Isit??? Not tml last day meh,btohqsg
Wahhh Singaporeans r fast on sales~,btohqsg
Can anyone here bake the same as that cookie? I will totally buy !,btohqsg
I bake yogurt mini cookies only~,btohqsg
Wait! The lava cookies + ice cream at lavender u went before??,btohqsg
Ehh no? What’s the name of the place?,btohqsg
u got to be kidding me,btohqsg
Sugis ice cream + pikopiko ice cream on red velvet cookie,btohqsg
aye aye i never go out often ma,btohqsg
i come out like mountain turtle pls,btohqsg
She nvr let u go out meh!,btohqsg
If the man ask me go out everyday  I will be sibei happy lei,btohqsg
got go out. just never explore,btohqsg
Hen sad lei..I like to plan for the man where to go date de.,btohqsg
Raffles hotel got naise coffee place oso!,btohqsg
wah i also would like someone to plan for me sia,btohqsg
everytime i got to start topic. plan where to eat. plan where to go,btohqsg
Y she no effort de sia,btohqsg
