text,group
but consistently do not like this character from day 1,btohqsg
cause you all say short ma,btohqsg
i follow you all sure correct,btohqsg
then have to ask why you all call shorts for JT earlier lo,btohqsg
没意见 我只想看看 tiger 怎么圆你 prata的太表面 像没天赋的演员Genie一眼能看见,btohqsg
Han lianguo now on form.. My new 神❤️❤️,btohqsg
Just being objective  when MT running up  everyone also thought Clement Yang is 神  when come down kana curse until he become 屎.,btohqsg
that is what i mean by overhyping,btohqsg
but what we discussing here isndifferent,btohqsg
They won't care about by their share price one la,btohqsg
Up just praise lor... Down just curse lor. .that's life,btohqsg
reason why asked sky to send TW MT those silly people the message,btohqsg
now not sure if sky get famous,btohqsg
do not worry lait is not against you or personal,btohqsg
just hope got less fear spreading more fact checking,btohqsg
It like that ma.. How to praise a company if shares keep dropping. .,btohqsg
If rise confirm everyone will look highly,btohqsg
No ma? Green nick.. I thought it's him,btohqsg
She got the heart leh  don’t like tat lah,btohqsg
Wolverine medical vision 3.88 also gone. His new vision at IFAST thread now,btohqsg
MT did a miraculous run.. So mama lin actually still consider good tipster overall ba,btohqsg
see from news thailand like escalatinghow are things,btohqsg
Those tam xin one can't blame mama lin liao,btohqsg
Give some credit to mama lin la,btohqsg
When up she's like a godWhen down all say her meh,btohqsg
If she call from micro Penny then y blame her..,btohqsg
haha ok ok hope to go thailand,btohqsg
no wonder he shout Jt 90cents,btohqsg
JK is JT n ML is MT !,btohqsg
i cannot even converse number in thai you ask me go three months,btohqsg
I hope leh.. At least I multibagging MT.. Too bad only can 流口水,btohqsg
At the rate 3 of u are goingVery fast max level,btohqsg
the truth is uncovered lin mama = jerry koh,btohqsg
wait la i not sure can survive this,btohqsg
Then I better not aim first le,btohqsg
Even JN n Heegul doesn’t in,btohqsg
U come n I bring u to,btohqsg
old lehthey like meh and poor,btohqsg
All avoiding furion kiss of death,btohqsg
Then wait for me slowly talk to first,btohqsg
haha dont hai me i go you think is alone meh,btohqsg
Cher Furion. Got any advice on procurri?,btohqsg
i saw you talk about kris...i also got thatsinograndness eratat hongxing china fishery,btohqsg
dont know if can say finish or not,btohqsg
i also ask you why you permanent base overseas then monitor here,btohqsg
Ok ok  Thailand can get leh,btohqsg
Wah So u similar to john? Buy alot of stocks from A-z?,btohqsg
you kena more shit?but no la i suay,btohqsg
so many other counter i so old also no hear before furion better at this,btohqsg
medtec 30mzone 121 123well support at 121watch the zone for break out,btohqsg
