text,group
Any counter to play Can tp one?,btohqsg
Singapore:• SINGAPORE DAYBOOK: One Championship Takes Steps After Departures• Carousell Appoints Former Razer Executive Edwin Chan as CFO• Keppel DC REIT (KDCREIT SP): Gets A$30M Loan Facility• Sembcorp Marine (SMM SP): Transocean Announces Deal to Delay Delivery  Defer Payments• Suntec REIT (SUN SP): FINAL GUID: Suntec Reit S$ Subordinated Perpetual NC5  4.25% (#),btohqsg
$2.50 CAI pung . Cheap and good,btohqsg
red color is sweet pork ?,btohqsg
Hougang ave 3 blk 6 caipng cheap,btohqsg
(UPDATED) Below 2 counters can watchlist this period:1) Hyphens Pharma   Current price $0.31/$0.315(Safest price $0.305 to $0.315)2) IX Biopharma  current price $0.24/$0.245(Safest price to collect at $0.235 to $0.245)DYODD,btohqsg
This 2 like based out and waiting for trigger.,btohqsg
Can watch closely  collect at the lower mentioned range if can hold. 👍,btohqsg
Singapore actor Gurmit Singh has been fined and banned from driving for speeding at 131kmh.https://cna.asia/34Xgkth,btohqsg
that is where PCK has been,btohqsg
Anyone looking at pan hong after the recent retrace? Hmm,btohqsg
Oh gosh. Haha he is lucky to be alive for speedinggg,btohqsg
Because the wings is $1 each,btohqsg
This one their chicken wing very delicious! Used to go there to dapao,btohqsg
wah  alot ppl sia. i no patience to q lol. last time kena con by colleague q haidilaio 1hr i wan die liao,btohqsg
Go early lor.  Go around 4pm+,btohqsg
later kena goreng by boss haha,btohqsg
7pm+ I go foodcourt.. not much left,btohqsg
I lazy fight with broker liao…just let them do whatever they want,btohqsg
Ntuc foodcourt is a great disappointment,btohqsg
You tell me this is mee hoon kuei??? From ntuc foodcourt,btohqsg
Looks like process one  not hand made one,btohqsg
Nowadays they dont even bother to hand pitch the kuei,btohqsg
Ya ntuc price is shooting up faster then our penny stock,btohqsg
Don't want go ntuc liao.. sheng siong or giant sua,btohqsg
Hong Kong universities should stay alert to foreign infiltration  says Carrie LamJune 08  2021 2:17 PMHONG KONG (CHINA DAILY/ASIA NEWS NETWORK) - Hong Kong institutions  including universities  need to be very sensitive to infiltration by external forces  Chief Executive Carrie Lam said on Tuesday (June 8).Read more:https://bit.ly/3cpLspy,btohqsg
Ya tulan.  $4.30.. lucky is use my own container,btohqsg
This period better to bring own container,btohqsg
Got pic anot on the menu board. So misleading.Lol can imagine ur reaction,btohqsg
Can help u safe some $$,btohqsg
Forget it.. I will nv buy again,btohqsg
Any for good mhk I can recommend,btohqsg
456 mian fen guo at 844 tampines street 82Or59 new upper changi rd,btohqsg
Sad to say..anything ntuc dive into.. will result in cost of price up alot,btohqsg
Thanks bro/sis. Recently found one at west coast market also nice. The Guo tie filling very full,btohqsg
What is impt is the soup and the dough,btohqsg
Soup base use ikan bills and white cabbage/mushroom for extra flavour,btohqsg
Lol..we talk so much about fnb here.. is this appropriate??,btohqsg
You all think this coming after 13th..can we dine in,btohqsg
Just dun spam too much else we may miss out the golden call for penny stock,btohqsg
Ya I have a feeling too,btohqsg
I see some hawker store damn poor thing,btohqsg
Hope that no new C variants hit our shore.,btohqsg
Delmonte was a good one follow by Net Pacific…got anymore?,btohqsg
What it mean by golden call,btohqsg
Del monte the whole chat was screaming,btohqsg
i damn sad never join in at 16 cent,btohqsg
What could have cause the rise??,btohqsg
well.. depends on what your mnotives,btohqsg
i doubt there will be much explosive actions left,btohqsg
