text,group
yo u guys like thegreenvipers wrx,btohqsg
so good ah can go ride in ppls car,btohqsg
Yasia how u get all these payung ah,btohqsg
and being good at taking photos,btohqsg
eh lemme ride oso leh HAHA,btohqsg
Sorry no pops but guess what car,btohqsg
i was gna buy a dslr for bus spotting,btohqsg
but i give up on that community long sgo,btohqsg
I use pro max oni but im not really a photographer so yea ://///,btohqsg
i use iphone X only bro issok one la,btohqsg
i give up on that community long ago alr,btohqsg
My car at its most possible stock just with spoiler and sport rim 😂,btohqsg
edit abot ehh like last yr i did this,btohqsg
seeing lots of carbon reminded me of a gtr almost full carbon,btohqsg
but i don't hear the vtec so,btohqsg
ok im very far off HAHAHAHA,btohqsg
eh crap 1st photo accidentally send,btohqsg
The dash looked damn familiar HAHAHAHA,btohqsg
that one my friend one HAHA,btohqsg
Btw yall know the ig of the white subaru?,btohqsg
yall know the ig for the like aqua/teal evo 9 anot,btohqsg
no ive been trying to find lol,btohqsg
he got like abit wide body,btohqsg
ok one more then done 🤣,btohqsg
i saw him at admiralty b4,btohqsg
he always drive at the north one,btohqsg
Anyone taking license rn at ssdc?,btohqsg
over there always see gtrs evos wrx,btohqsg
Wait so far i see all cartoks of car meets like dont have MK4 oni,btohqsg
near my school the car park got a orange lancer yaris v3 widebody i think,btohqsg
got i8 blobeye and mx5 near my block,btohqsg
Supra? Sg where got mk4 like legal,btohqsg
I got see pics but mostly at like workshops n stuff,btohqsg
need wait 34 yrs for sg 25 yrs for us,btohqsg
need wait till it’s considered a classic vehicle,btohqsg
How get tickets ah buy on spot or online?,btohqsg
im pretty sure its onlime but imnot sure,btohqsg
its my first time going to IAM,btohqsg
2JZ stock engine u think lta let meh?🤣🤣🤣🤣,btohqsg
quite famous in asia and ardthe  world,btohqsg
Eh credits to this guy for making the group,btohqsg
Need bring the sg car community closer,btohqsg
Send ig ah we all follow… jkjk,btohqsg
lets ppl new to the scene join,btohqsg
yeah thats why cos in my comment section got ppl always ask where car meets mah so,btohqsg
let the people wif car send the ones schooling to school,btohqsg
Yea i agree and i wished,btohqsg
but if gas wasnt that exp rite,btohqsg
HAHA car cnnt la if van can send all,btohqsg
id dream of convoying but thats illegal in sg sadly,btohqsg
Can try get legal one but damn sian one,btohqsg
once i enough moneh i jst gna go buy car at msia,btohqsg
but need consider where put it lor,btohqsg
Need write letter if approval to LTA   TP of wat road and time to close and all that shit,btohqsg
"even if its ""legal"" convoy the rules and everything quite shag to follow",btohqsg
live in malaysia auto rich edi,btohqsg
ye thats what i was thinking HAHA,btohqsg
The fact that some tp officers actually drive illegal cars oso💀,btohqsg
everyday need travel back and forth,btohqsg
DROP THEIR IG IF YK AH,btohqsg
Save up till 1mil sg convert to msia 3mil ringgit,btohqsg
cb tp motor gear 1 itself can drag to 80km/h bro,btohqsg
my bro his motor gear 6 170kmh,btohqsg
how to run if tp see him speeding edi,btohqsg
ofc 50k still hard to get but,btohqsg
for a 2000 car i think rite,btohqsg
better than paying more for COE and all,btohqsg
Aiya if really passion abt cars 50k oso willing to fork out one,btohqsg
i play wangan at my pc only la HAHA,btohqsg
so i jst import the game to pc,btohqsg
U got the steering and stuff?,btohqsg
Buy g29 play asserto corsa oso ok,btohqsg
sadly no i jst play with keyboard,btohqsg
seeing from the camber on the front tires,btohqsg
Someone bring this guy to selang track ffs,btohqsg
but not much fun lor 😭,btohqsg
i scared la see this kind of car,btohqsg
bro i play f1 with controller eh,btohqsg
Suddenly u see got laptop at passenger seat💀💀💀,btohqsg
but now my ps4 broken 🤩,btohqsg
nvm la still go bet for pinks,btohqsg
the tifosi do be sad aft azerbajian gp,btohqsg
maybe one day i host car meet in roblox HAHA,btohqsg
grinded my ass off for the countach,btohqsg
now can get 3:04 on otsuki easily even on mobile,btohqsg
once i had a glitch where 10 mil yen suddenly pop in my acc,btohqsg
cus the cosmetics on the coutach just 😩,btohqsg
i spent all my money on prius and suspension so i could make a goofy car as a joke,btohqsg
but issok i own 8 cars,btohqsg
they gave evryone 10mil for a event i thibk,btohqsg
@ the guy who like hiace,btohqsg
wah this will get my delivery on time cfm,btohqsg
tbh wouldnt mind buying a hiace once i get license,btohqsg
sometimes can hear little turbo flutter sia,btohqsg
I prefer van jenazah ah actually hehe mod version,btohqsg
wats u guys fav car related youtube channel,btohqsg
NAHH COS I WAS BESIDE IT,btohqsg
same2 that think clapped to the ground sia,btohqsg
Got a few ah throtl one of them,btohqsg
learned alot about engines with him,btohqsg
the grand tour for funny moments but i jst watch on amazon,btohqsg
my frens bahan me for liking cars,btohqsg
ik this is a car channel but does anyone like motobikes too,btohqsg
not much into it but motogp is nice,btohqsg
dont knoe much abt bikes tho,btohqsg
Especially when u see ur fav bike vs ur fav car,btohqsg
by that i mean the bike names and all,btohqsg
but now broken cos he keep giving rides to chix,btohqsg
h2r got like 210-230 hp sia,btohqsg
for bikes i prefer the santai2 kind more than sports,btohqsg
like vespas cafe racers typa shit,btohqsg
both living rental free in my heart,btohqsg
my bro go 170kmh on that,btohqsg
Imagine if our presidents is into cars too….,btohqsg
Lewis ham this year like the car abit off ah,btohqsg
i going sg gp this year lesgo,btohqsg
his back oso cfm off ah,btohqsg
me and my friend camp for 3 day grandstand,btohqsg
anyways right  is anyone going to the meets w/out veh? 🥲,btohqsg
i saw fp2 when i was p3 on the nicoll highway,btohqsg
then i started watching it more,btohqsg
i always go meets without vehicles,btohqsg
