text,group
Go anywhere retire also can. Die also no one will know,btohqsg
Wa se so pessimistic . B more optimistic la,btohqsg
My resolution for 2021 is find girlfriend!,btohqsg
Travel more n meet more frens,btohqsg
By 2025 BTO  2030 give parents grandchildren!,btohqsg
My only form of escapism from SG,btohqsg
Go join contiki tour next time when travelling resume,btohqsg
When resume I go jippun liao,btohqsg
Haha cannot say here ltr kenna ban,btohqsg
Lol never make such resolutions..never follow thru or come thru one,btohqsg
Aiya if it comes it comes,btohqsg
Maybe I hang around the cai png stall in sch for long can find my cai png soul mate,btohqsg
She feed me fish I feed her pork,btohqsg
Wow 23 know so much hamsup places,btohqsg
Ask e famous couple here to intro u la lol,btohqsg
Bad boy? Girls like bad boys,btohqsg
Girls young like bad boys and those showy one,btohqsg
But when older want to find good boy to settle down with,btohqsg
By then all the good boys get rejected liao where got want to be 2nd hand good,btohqsg
Lol some girls think they can change their men,btohqsg
I no go out of house one,btohqsg
My parents also worried why I can stay my room whole day,btohqsg
Give some hope to the ah boys here la,btohqsg
Men wish wife dun change but they change....women wish husband change to what they want but they dun change,btohqsg
Very long never hear that term alr,btohqsg
Go out knw more frens first,btohqsg
My friend intro me usemeetup.comcan do language exchange all,btohqsg
Lol ur intention wrong in the first place I guess,btohqsg
But the language exchange part is real,btohqsg
All the jpmm come here alr working kind,btohqsg
Then c if can proceed further,btohqsg
Cfm see me no up one even if same age,btohqsg
Frens too long kenna fren zoned,btohqsg
Ya I kenna friendzone 2 times liao...,btohqsg
Then they complain their bf mistreat them when they reject the nice boys,btohqsg
I just be bbfa no stress,btohqsg
Don't look down bbfa. Alot with nice gals too,btohqsg
Is it tmr medical day ?,btohqsg
Ppl with gf jealous of single ppl....single jealous of ppl with gf,btohqsg
Grass always greener on the other side man,btohqsg
U can w8 long long Ior,btohqsg
Just hope strike toto can liao,btohqsg
Maybe next time I really go outlet buy,btohqsg
Everytime online buy no luck one,btohqsg
9 am to 9 pm  6 days a week,btohqsg
Hard to compete in China lah,btohqsg
Yeaaaa Mt is waiting for break out,btohqsg
huh mine worse ot no ot pay say i pmet,btohqsg
somemore not i want to OT one. machine break down,btohqsg
then give few hr off when i come back on sat,btohqsg
