text,group
Digital Core REIT says it is not exposed to US regional bankshttps://t.co/n6BWmER0uTMarch 17  2023 at 09:03AM,btohqsg
sian all my counters either down or unchanged on this quite upbeat day😫🙈,btohqsg
Issit? Went there last week quite nice,btohqsg
Singapore shares rise at Friday’s open; STI up 0.5%https://ift.tt/PGJmri1March 17  2023 at 09:46AM,btohqsg
Hong Kong: Shares kick off Friday’s session with healthy gainshttps://ift.tt/ZhnIR9VMarch 17  2023 at 09:48AM,btohqsg
Food Empire 89c +1.717% new🆕HH.. bo near 💯 bo TP🤣,btohqsg
🦁OcBc HST etf 65c +2.4%bk to my early itchy hand try ep🤣,btohqsg
why🤷🏽‍♀ the liars🤥 gear⚙️ not yet sudden dump dn🙇🏼‍♂,btohqsg
jojo  Jardin c&c can still add> tat day i bot 27.53,btohqsg
Can a chionging leader appear to lead the pennies,btohqsg
Probably can rebound🪃 fr. multiple bottoms near 27.40..,btohqsg
tat day i bot 27.53 and it closed 27.30,btohqsg
Ya.. if S 27.30 break then consider reduce position..next wk candlestick🕯️ in wkly📉 is important,btohqsg
haw recent ran up to 11.25?? so cool right>,btohqsg
not in my WL.. peisey🤣 & gd🍀,btohqsg
uncle gold fish always buy digicore  so boring  reit only move when got dividend  buy more exciting reit like ascendas reit  two day ago 2.67 and now 2.81 lia,btohqsg
Nano BB...go jiak sai  pls. 😆,btohqsg
I see.. ytd big drop I wonder why,btohqsg
I added CICT too when 1.81,btohqsg
REITs is about long term. Not fast money,btohqsg
Scare all the tech companies affected,btohqsg
must be long term but must be also can move one ,btohqsg
I read an article that one of the biggest tenant 20%+ revenue may have some financial issue,btohqsg
Is this why Digital Core REIT's unit price has been weak?https://www.theedgesingapore.com/news/reits/why-digital-core-reits-unit-price-has-been-weak,btohqsg
It’s okay. I can wait for it to move haha,btohqsg
Is not the largest in my portfolio,btohqsg
So can afford to take the risk.,btohqsg
any penny to hoot for HGG next week?,btohqsg
if can hold nothing much to worry since it's an offer discounted price recently,btohqsg
Pardon my noob knowledge. But till now the tenant hasn’t delayed the rent payment.1) the tenant manage to refinance. Everything back to normal.2) the tenant suddenly toh. They have to find another tenant lor. Happened to them before. The sponsor came in and support.3) since the tenant has till November to refinance. More than ample time for them to have a back up plan.,btohqsg
Acrometa whole day at 41  脚不酸吗？,btohqsg
Mencast BB don't know wait for what,btohqsg
My tiger app shows current yield at 9+%. Worth to take the risk or not is dyodd Liao. To me is worth it.,btohqsg
And for traders. They haven’t sbb for 3 months Liao. Usually if they start.. is few days in a row one.,btohqsg
oh.. didn't notice Wilmar 🌴 raise bk S zone >4$ yesterday.. aiyo  11c dividend xD 06wks later.. so long🤣,btohqsg
Mt yesterday low of 102..reverse ah.. 107 unchange,btohqsg
Shen Yao 001 keep coming to buy.. Know something that we don't know,btohqsg
ST Engineering wins S$430 million rail services contract in Taiwanhttps://ift.tt/owmMIUAMarch 17  2023 at 10:50AM,btohqsg
No risk is not investment already,btohqsg
GAR🌴 wkly📈 不要这样啦!!! wa bo tanxin & only aim🎯 slightly above 300🤣,btohqsg
Just supported at 41. Vol is coming in.Chart looks good  anytime can go ballistic up. If can break 45  50-55 looks possible too.Good vol  good candle = waiting lor,btohqsg
If no more sellers at 001  then sellers wtg at 002. Buy 001 n sell 002 = 50% profit but buy bulk lor,btohqsg
CDL🏗 $7.24 +1.4%raised bk above upper S S zone,btohqsg
power 💪 STI 30 components 90% green.. and 🇸🇬 sectors all green except energy,btohqsg
Sats power sia!Really want those on the fence with the rights to part their $ sia.,btohqsg
Looks like Start liao. Acesian trying to lead pennies,btohqsg
yah.. look like BB collected past few days!,btohqsg
Ang moh chip stocks up a lot...here need to catch up..,btohqsg
Btw  Ace is chip stock hor...🤭,btohqsg
🇸🇬4S• SIA🛫✈️ +0.53%• SATs🍱🚛 +2.8%• SIAEC👩🏻‍🔧👨🏾‍🔧 +1.8%• STE🛰🛸 +0.58%,btohqsg
