text,group
Most of my class just gonna be mugging maths,btohqsg
Then Chen zhengyu gonna be like,btohqsg
rly? i tot musician was in band,btohqsg
I need to run tmr confirm,btohqsg
Band was my sec sch cca,btohqsg
Long story short my parents wanted me to focus more on grades in jc so they didnt allow me to continue in band,btohqsg
I feel like it's unfortunately a very common story,btohqsg
Yes coz i did say that story before,btohqsg
Don't even care abt what cca I choose cuz,btohqsg
They don't even rly understand the system anyway,btohqsg
Mine is they cant accept that different gen stuff,btohqsg
So like I just say I got cca,btohqsg
I think their rough understanding is,btohqsg
Unfortunately in today’s world  more i see of parents over-imposing,btohqsg
Wah in jc the latest i went home was that 1 time aft ori gathering,btohqsg
I no energy for that mans,btohqsg
I actually had to miss my farewell party coz of h3 math class💀💀,btohqsg
Maybe I shld jio my friends ask if they wan dinner,btohqsg
I actly think I'll miss cca,btohqsg
Maybe if i played some econs  i would hvskipped h3 instead,btohqsg
Some ppl can talk but cannot act,btohqsg
We don't kaopeh abt exco at all tbh,btohqsg
Cuz everyone just vibing doing their own shit,btohqsg
If ik UW I would eh,btohqsg
Speaking of which ‘promoting lifelong appreciation for co music’ is nusco i cant rmb vision or mission,btohqsg
No like legit hard core music training bg,btohqsg
Can also tell the out of tune,btohqsg
Tbh tm perf arts q bad,btohqsg
I think dance is not bad,btohqsg
I rmb me n my friends thinking,btohqsg
My friend once told me if a non-musician can tell out of tune  it means the performance is v bad,btohqsg
Coz she told me that even if u play wrong  the audience unless they hv music bg cannot tell,btohqsg
Maybe i should drop by too,btohqsg
I lowkey feel like watching symphonic band,btohqsg
U can record the performance ah,btohqsg
Oh right they hving combined concert,btohqsg
Eh bruh im curious how they put up the show sia,btohqsg
Prolly exco pity U travel from west,btohqsg
no bruh iw stay in the general office,btohqsg
aspiring exco don't do work also like abit ironic,btohqsg
Wait when's exco selection for mrc,btohqsg
How many positions in mrc exco,btohqsg
Idk what's going on for mine now,btohqsg
None of the songs i played before,btohqsg
Mine had 9 ran for 4,btohqsg
since they announce sc alr i think there will be more comp,btohqsg
Makers one was- interview w Cher- make poster slide(???)- speech infront of j1+2- voting,btohqsg
bc initially there were 2 ppl interested,btohqsg
All of them didnt get ah,btohqsg
our cca no voting bc too small alr,btohqsg
